availability_status,course_id,course_name,course_overview_raw,course_url,credits,discovery_method,discovery_source_url,display_course_code,http_status,in_canonical_workbooks_before,in_database_before,page_title,prerequisite_status,prerequisite_text_raw,reconciliation,seed,status,subject_category,validation_notes,validation_status
Not offered this term,ELEX7010,Engineering Statistics,"The course covers numerical and graphical methods of descriptive statistics, basic probability theory, the notion of discrete and continuous random variables and their probability distributions (focussing on the binomial, geometric, hypergeometric, Poisson, uniform, exponential, normal and Erlang-k distributions), the connection between probability and statistical inference (population and sample), sampling and sampling distributions, computation of confidence interval estimates and testing of hypotheses (involving means, differences of means, proportions, difference of proportions, variances), an introduction to simple and multiple linear regression, an introduction to experimental design and analysis of variance, and an introduction to basic principles of quality control. Prerequisite(s) No prerequisites are required for this course. Credits 3.0 Not offered this term This course is not offered this term. Notify me to receive email notifications when the course opens for registration next term.",https://www.bcit.ca/courses/engineering-statistics-elex-7010/,3.0,program_matrix_link,https://www.bcit.ca/programs/electronics-bachelor-of-technology-part-time-8900btech/,ELEX 7010,200,False,True,Engineering Statistics ELEX 7010,explicit_none,No prerequisites are required for this course.,existing_database,True,Active,Electrical and Computer Engineering Course,,validated
Not offered this term,ELEX7040,Engineering Materials,"Overview of materials used in engineering-metals, ceramics, plastics, semiconductors and wood. Examines microstructure of materials and macroscopic properties such as modulus of elasticity and tensile and shear strengths. Topics such as phase diagrams, solid state transformations, fracture, corrosion and sizing are included. Some laboratory demonstrations. Prerequisite(s) No prerequisites are required for this course. Credits 3.0 Not offered this term This course is not offered this term. Notify me to receive email notifications when the course opens for registration next term.",https://www.bcit.ca/courses/engineering-materials-elex-7040/,3.0,program_matrix_link,https://www.bcit.ca/programs/electronics-bachelor-of-technology-part-time-8900btech/,ELEX 7040,200,False,True,Engineering Materials ELEX 7040,explicit_none,No prerequisites are required for this course.,existing_database,True,Active,Electrical and Computer Engineering Course,,validated
Not offered this term,ELEX7120,Linear Algebra and Vector Calculus,"This course covers the basics of vectors, matrices, matrix operations, determinants and linear transformations. Applications to linear algebraic equations and eigenvalue/eigenvector problems are covered, as well as to systems of linear ordinary differential equations. The course then covers vector functions and operators, curvilinear coordinates, line and surface integrals and integral theorems such as Stoke's and Green's theorems.. Applications in circuit theory, control systems, network theory, electromagnetism, robotics, gravitation, and system modeling are emphasized. Prerequisite(s) 50% in ELEX 7020 Credits 3.0 Not offered this term This course is not offered this term. Notify me to receive email notifications when the course opens for registration next term.",https://www.bcit.ca/courses/linear-algebra-and-vector-calculus-elex-7120/,3.0,program_matrix_link,https://www.bcit.ca/programs/electronics-bachelor-of-technology-part-time-8900btech/,ELEX 7120,200,False,True,Linear Algebra and Vector Calculus ELEX 7120,authoritative_raw_text,50% in ELEX 7020,existing_database,True,Active,Electrical and Computer Engineering Course,,validated
Not offered this term,ELEX7121,Scientific Computing 2,"Covers numerical methods and use of computer algorithms for discrete least squares approximation, trigonometric polynomial approximation, Fast Fourier Transforms, and Boundary value problems. Solutions of second order partial differential equations, namely, elliptic (Laplace's and Poisson's), parabolic and hyperbolic equations, using finite difference methods will be covered. Computer programs and software packages (MATLAB) will be used to solve equations. Prerequisite(s) ELEX 7120 or can be taken concurrently Credits 1.0 Not offered this term This course is not offered this term. Notify me to receive email notifications when the course opens for registration next term.",https://www.bcit.ca/courses/scientific-computing-2-elex-7121/,1.0,program_matrix_link,https://www.bcit.ca/programs/electronics-bachelor-of-technology-part-time-8900btech/,ELEX 7121,200,False,True,Scientific Computing 2 ELEX 7121,authoritative_raw_text,ELEX 7120 or can be taken concurrently,existing_database,True,Active,Electrical and Computer Engineering Course,,validated
Not offered this term,ELEX7140,Semiconductor Theory and Applications,This course is an introduction to semiconductor and electronic devices. Crystal properties of semiconductor materials will be described. After a review of the Bohr model and quantum mechanics Schrodinger equation will be solved. Energy bands and charge carriers in semiconductors will be described. Theory of forward-and reverse-biased p-n junction and transistor will be presented. Operation of field effect transistor will be explained. There will be experiments to relate theory to the electronic devices. Prerequisite(s) 50% in ELEX 7040 Credits 3.0 Not offered this term This course is not offered this term. Notify me to receive email notifications when the course opens for registration next term.,https://www.bcit.ca/courses/semiconductor-theory-and-applications-elex-7140/,3.0,program_matrix_link,https://www.bcit.ca/programs/electronics-bachelor-of-technology-part-time-8900btech/,ELEX 7140,200,False,True,Semiconductor Theory and Applications ELEX 7140,authoritative_raw_text,50% in ELEX 7040,existing_database,True,Active,Electrical and Computer Engineering Course,,validated
Not offered this term,ELEX7210,Signal Theory and Processing,"This course is divided into two parts. Approximately 40% of the course time is devoted to continuous time signal processing and 60% to discrete time signal processing. The continuous time section of the course starts with a general overview of analog filter types and the approximation problem. Transfer functions for various filter types, typically Butterworth, Chebyshev, Cauer and Bessel, are then derived. Transformations from normalized low-pass to high-pass, band-pass, and band-reject and also scaling are covered. Various circuits to realize the resulting transfer functions are analyzed and implemented in the laboratory. The discrete time section starts with a review of the properties of sine waves including discrete time representation. Spectrum representation is examined and various Fourier series representations are covered. Sampling and aliasing are examined followed by an examination of the basics of FIR filters. Techniques for designing FIR filters are presented. The z-transform is developed, followed by an examination of recursive filters. Various s-plane to z-plane transformations are presented and design techniques for recursive filters are covered. The theory is strongly supported by several design projects which are implemented and tested in the laboratory. Prerequisite(s) 50% in ELEX 7110 Credits 3.0 Not offered this term This course is not offered this term. Notify me to receive email notifications when the course opens for registration next term.",https://www.bcit.ca/courses/signal-theory-and-processing-elex-7210/,3.0,program_matrix_link,https://www.bcit.ca/programs/electronics-bachelor-of-technology-part-time-8900btech/,ELEX 7210,200,False,True,Signal Theory and Processing ELEX 7210,authoritative_raw_text,50% in ELEX 7110,existing_database,True,Active,Electrical and Computer Engineering Course,,validated
Not offered this term,ELEX7220,Feedback Control,"Linear controller design in a variety of application areas. Model equations from first principles, empirical models. Continuous and discrete time frameworks. PID control analysis, transform controller design, state feedback design the linear quadratic Gaussian regulator problem, dead time compensation, sensitivity analysis, predictive control. Hands-on labs form an integral part of the course. Prerequisite(s) 50% in ELEX 7110 Credits 3.0 Not offered this term This course is not offered this term. Notify me to receive email notifications when the course opens for registration next term.",https://www.bcit.ca/courses/feedback-control-elex-7220/,3.0,program_matrix_link,https://www.bcit.ca/programs/electronics-bachelor-of-technology-part-time-8900btech/,ELEX 7220,200,False,True,Feedback Control ELEX 7220,authoritative_raw_text,50% in ELEX 7110,existing_database,True,Active,Electrical and Computer Engineering Course,,validated
Not offered this term,ELEX8010,Data Communication,"This course gives an overview of data communication. The course covers the ISO/OSI seven layer protocol model. Emphasis is placed on the role and function of communication protocols, particularly at the physical and data-link layers. Students gain an understanding of the various communication protocols that have been defined to create communication environments in which computers can exchange information in an open way. Course topics include protocol operation error detection and control, encoding, modulation techniques and data compression. Hands on data communication programming and hardware labs are incorporated into the course so that students can master the material. Prerequisite(s) 50% in ELEX 7020 Credits 3.0 Not offered this term This course is not offered this term. Notify me to receive email notifications when the course opens for registration next term.",https://www.bcit.ca/courses/data-communication-elex-8010/,3.0,program_matrix_link,https://www.bcit.ca/programs/electronics-bachelor-of-technology-part-time-8900btech/,ELEX 8010,200,False,True,Data Communication ELEX 8010,authoritative_raw_text,50% in ELEX 7020,existing_database,True,Active,Electrical and Computer Engineering Course,,validated
Not offered this term,ELEX8030,Real-Time Embedded Systems,"This course covers software and hardware design for real-time embedded systems. Topics include real-time implementation of DSP algorithms, code and hardware optimization for speed and power, real-time operating systems, reliable operation, and overall system architecture. In the laboratory, students will apply selected concepts learned in the lectures by implementing them on a development board centered around a DSP-oriented microcontroller. This course uses C as the programming language. There is some interaction with assembly code. Tutorial time early in the course is available to bring students back up to speed on selected topics such as C programming. Prerequisite(s) No prerequisites are required for this course. Credits 3.0 Not offered this term This course is not offered this term. Notify me to receive email notifications when the course opens for registration next term.",https://www.bcit.ca/courses/real-time-embedded-systems-elex-8030/,3.0,program_matrix_link,https://www.bcit.ca/programs/electronics-bachelor-of-technology-part-time-8900btech/,ELEX 8030,200,False,True,Real-Time Embedded Systems ELEX 8030,explicit_none,No prerequisites are required for this course.,existing_database,True,Active,Electrical and Computer Engineering Course,,validated
Not offered this term,ELEX8130,Computer Networks,"This course analyzes the various communication protocols that have been defined to create communication environments in which computers can exchange information in an open way. Course topics include protocol structures, inter-networking, high-speed networks and network management issues. Error control and correction, and queuing theory is also presented. Students will perform hands-on labs and programming assignments using BCIT's telecommunications lab hardware. Prerequisite(s) 50% in ELEX 8010 Credits 3.0 Not offered this term This course is not offered this term. Notify me to receive email notifications when the course opens for registration next term.",https://www.bcit.ca/courses/computer-networks-elex-8130/,3.0,program_matrix_link,https://www.bcit.ca/programs/electronics-bachelor-of-technology-part-time-8900btech/,ELEX 8130,200,False,True,Computer Networks ELEX 8130,authoritative_raw_text,50% in ELEX 8010,existing_database,True,Active,Electrical and Computer Engineering Course,,validated
