program_id,program_name,credential,study_mode,school,shape,status,custom_code,missing_course_count,validated_missing_count,import_status,revision_id,payload_sha256,zero_diff
6575DIPMA,"3D Modeling, Art and Animation",Diploma,Full-time,School of Business + Media,portfolio/design and competitive departmental assessment,GREEN,none,28,28,active,221,d2476578096e418d4f6fc9730c2c504bc894051c65fe49bc1bd3d02e3ec546b8,True
6615DIPMA,Medical Laboratory Science,Diploma,Full-time,School of Health Sciences,non-Nursing health and 35-week clinical placement,GREEN,none,30,30,active,222,700937d87a5f481efe77330799751eba4338269d84f61bac1e1a84caba250ce4,True
3790APPR,Industrial Electrician,Apprenticeship,Full-time,School of Construction and the Environment,trades/apprenticeship with external sponsorship and hours,RED,held: official matrix has levels and training credits but no course identifiers,0,0,held,,,
6045PDIPMA,Finance,Diploma,Part-time,School of Business + Media,business/finance with repeated course alternatives,YELLOW,generalized connector-aware alternative grouping,20,20,active,223,1e6f330bf9fc4febbd2bbb8cd5c6e8409d7c89ef9128dd4e6194867969ad91ba,True
0826CM,Technical Communication Essentials,Microcredential,Part-time,School of Computing and Academic Studies,short microcredential with elective credit pool and laddering,GREEN,none,4,4,active,224,59ac56804d8aefbebf070392463a031c288ff754d8c097fd276c8be31cc03f2f,True
5500PDIPLT,Computer Systems,Diploma,Part-time,School of Computing and Academic Studies,part-time/Flexible Learning with prior-credential block and elective pools,YELLOW,generalized non-course component and constrained-pool preservation,12,12,active,225,81c1c14537f6a2681c59f5ad366766ecd65c1ecd02da7923515d8c56497ec442,True
5500DIPMA,Computer Systems Technology,Diploma,Full-time,School of Computing and Academic Studies,technology diploma with co-op and twelve option pathways,YELLOW,generalized named-pathway grouping and optional co-op handling,65,65,active,226,9429fbbccdd7f8f6b15e0242872fc3e2f2ace89dc76d4718671637c357631f85,True
6220FDIPMA,Interior Design,Diploma,Full-time,School of Construction and the Environment,advanced placement/laddering plus portfolio and entrance project,GREEN,none,5,5,active,227,e0b6ae7f08c80d2bd4d9ffe284f4c6356a965e3fcfdd408d103e261557d585f0,True
6635DIPMA,Medical Radiography,Diploma,Full-time,School of Health Sciences,clinical-practicum-heavy health program,GREEN,none,30,30,active,228,ed8309c8c614173ca6669d450f844370b2d0e5f148419cc70bb6bb70a27b7d7b,True
635DDIPLT,Mechanical Engineering Technology (Mechanical Design Option),Diploma,Full-time,School of Energy,diploma/degree continuation alternatives,YELLOW,generalized named-pathway grouping,28,28,active,229,453b8cca90cca30075730af2209428cd7e2a9295767f6d79920548034eeb7ec1,True
6595DIPMA,Graphic Design and Interactive Media,Diploma,Part-time,School of Business + Media,"Flexible Learning with internship, portfolio and advanced entry",GREEN,none,8,8,active,230,194fc104fe2a9b218ae54c258877c02d0e8a4cd57c532965378469add82f25e7,True
7140DIPMA,Architectural and Building Technology,Diploma,Full-time,School of Construction and the Environment,elective courses and grouped pathways,YELLOW,generalized connector-aware elective/pathway grouping,35,35,active,231,8022666f85037a434089453f5dbf7c21e58de4c4d34bec574ec593a62aaf1949,True
