program_id,program_name,credential,study_mode,school,shape,status,custom_code,missing_course_count,validated_missing_count,import_status,revision_id,payload_sha256,zero_diff,warnings,blockers,source_url
5063DIPMA,Biomedical Engineering Technology,Diploma,Full-time,School of Health Sciences,technical diploma with laboratory and practicum curriculum,GREEN,none,33,33,active,280,5dc8ab495b700a562445edd2c2fa37c64b27b7c48c12eeeafbe37f0c13bce8b8,True,[],[],https://www.bcit.ca/programs/biomedical-engineering-technology-diploma-full-time-5063dipma/
5375DIPMA,Chemical and Environmental Engineering Technology,Diploma,Full-time,School of Energy,multi-term technology diploma with laboratory courses,GREEN,none,34,34,active,281,2b0466d14835ed366eb97bd4f366fee20066fa02813a5cb7c7ea62f8051f43fc,True,[],[],https://www.bcit.ca/programs/chemical-and-environmental-engineering-technology-diploma-full-time-5375dipma/
8040BSC,Ecological Restoration,Bachelor of Science,Full-time/Part-time,School of Construction and the Environment,joint degree completion with electives and field work,YELLOW,existing Batch 01 connector/pathway adapter; no new code,11,11,active,282,a319a0655ba1b02842d31377fd0f35cf4dc2e704ca21e3e86a672a45e47ee1ab,True,[],[],https://www.bcit.ca/programs/ecological-restoration-bachelor-of-science-full-time-part-time-8040bsc/
M410MSC,Ecological Restoration,Master of Science,Full-time/Part-time,School of Construction and the Environment,graduate degree with research project and elective choices,YELLOW,existing Batch 01 connector/pathway adapter; no new code,10,10,active,283,48ac9a68ae4e5a5a815d63401c1e8ea3ff32b48effb1f8455a1bf124c1c46a2c,True,"[""duplicate course reference normalized during import: ECOR9170""]",[],https://www.bcit.ca/programs/ecological-restoration-master-of-science-full-time-part-time-m410msc/
8120BTECH,Environmental Engineering,Bachelor of Technology,Full-time/Part-time,School of Construction and the Environment,degree completion with electives and prior credential,YELLOW,existing Batch 01 connector/pathway adapter; no new code,22,22,active,284,e6d4fff3dc6a6faf1d9a93fa22877bd3300aed620a181f24f5d700189d3c293e,True,[],[],https://www.bcit.ca/programs/environmental-engineering-bachelor-of-technology-full-time-part-time-8120btech/
7935DIPMA,"Fish, Wildlife and Recreation",Diploma,Full-time,School of Construction and the Environment,field-intensive diploma with practicum,GREEN,none,28,28,active,285,95cc89958d3202c7ad45f7a739ceff8518c5bc285afee6839729be626384ba2a,True,[],[],https://www.bcit.ca/programs/fish-wildlife-and-recreation-diploma-full-time-7935dipma/
5155DIPMA,"Food Processing, Safety, and Quality",Diploma,Full-time,School of Health Sciences,science diploma with laboratory and industry practicum,GREEN,none,25,25,active,286,66070e672237fcd0728b5966fb33d69e486b8d4c7005b3ed111e987147a86396,True,[],[],https://www.bcit.ca/programs/food-processing-safety-and-quality-diploma-full-time-5155dipma/
8310BTECH,Geographic Information Systems,Bachelor of Technology,Full-time/Part-time,School of Construction and the Environment,degree completion with full-time and flexible pathways,YELLOW,existing Batch 01 connector/pathway adapter; no new code,8,8,active,287,37aee994d60dfd691c35ad6fd26331d11029d2c887b98944ecd727b3e7740243,True,[],[],https://www.bcit.ca/programs/geographic-information-systems-bachelor-of-technology-full-time-part-time-8310btech/
8645BSC,Geomatics,Bachelor of Science,Full-time,School of Construction and the Environment,engineering-science degree with advanced placement,YELLOW,existing Batch 01 connector/pathway adapter; no new code,13,13,active,288,53fc918816cef6966e2222b9f4ba6392d9957447d09f39ecb28facedf37f8f73,True,[],[],https://www.bcit.ca/programs/geomatics-bachelor-of-science-full-time-8645bsc/
6035DIPMA,Accounting,Diploma,Full-time,School of Business + Media,cohort diploma with business core,GREEN,none,1,1,active,289,3360f0ed7d0ac7e942f261b06ae4b836987fcf292b416d72fd7d25cfc97499d7,True,[],[],https://www.bcit.ca/programs/accounting-diploma-full-time-6035dipma/
5290ADVDIP,Professional Accounting,Advanced Diploma,Full-time/Part-time,School of Business + Media,post-credential advanced diploma with flexible pathways,YELLOW,existing Batch 01 connector/pathway adapter; no new code,1,1,active,290,5a1908386bcf9156bab02640b4f70ff66c5bc8c29cc5af6e659d776db4673cf6,True,[],[],https://www.bcit.ca/programs/professional-accounting-advanced-diploma-full-time-part-time-5290advdip/
6135DIPMA,Broadcast and Online Journalism,Diploma,Full-time,School of Business + Media,media cohort with projects and practicum,GREEN,none,24,24,active,291,d277679da465e24c8025ea9126b763be5d03c207c95f10dcbbd419f6a012aabc,True,[],[],https://www.bcit.ca/programs/broadcast-and-online-journalism-diploma-full-time-6135dipma/
5115ACERT,Music Business,Associate Certificate,Part-time,School of Business + Media,flexible certificate with elective choices,YELLOW,existing Batch 01 connector/pathway adapter; no new code,7,7,active,292,907f7c5b7799e89877b7a10f09eccbb483fe3d339c3c243f5e739dacd94a17cd,True,[],[],https://www.bcit.ca/programs/music-business-associate-certificate-part-time-5115acert/
