program_id,program_name,credential,study_mode,school_domain,shape,status,adapter_classification,missing_course_count,validated_missing_count,import_status,revision_id,payload_sha256,zero_diff,warnings,blockers,source_url
0120NOBCIT,International Student Entry,Full-time,School of Computing and Academic Studies,,full-time,RED,held: official curriculum publishes no identifiable BCIT course references,0,0,held,,,,[],"[""no identifiable BCIT course references in the published curriculum""]",https://www.bcit.ca/programs/international-student-entry-full-time-0120nobcit/
0804CM,Forensic Nurse Examiner Education for RNs,Microcredential,Part-time,School of Computing and Academic Studies,microcredential with flat published curriculum,GREEN,none,0,0,active,342,b98703bc184a5af5ff576a27c2b10c97146bfd2ef0e95cc64ae418a429895488,True,[],[],https://www.bcit.ca/programs/forensic-nurse-examiner-education-for-rns-microcredential-part-time-0804cm/
0810CM,Low-Code Mobile Application Development,Microcredential,Part-time,School of Computing and Academic Studies,microcredential with flat published curriculum,GREEN,none,3,3,active,343,397080d56aedd27b7b60111d100c8062bbd5643c0284437af26d14ed9d5f199f,True,[],[],https://www.bcit.ca/programs/low-code-mobile-application-development-microcredential-part-time-0810cm/
0813CM,Advanced Forensic Nurse Examiner,Microcredential,Part-time,School of Computing and Academic Studies,microcredential with flat published curriculum,GREEN,none,6,6,active,344,9fcc7202e2c7d95549caa4c9421089d56e7a177a28d41831bd5ac09438fe9fc3,True,[],[],https://www.bcit.ca/programs/advanced-forensic-nurse-examiner-microcredential-part-time-0813cm/
0820CM,Cybersecurity Essentials for IT Professionals,Microcredential,Part-time,School of Computing and Academic Studies,microcredential with flat published curriculum,GREEN,none,0,0,active,345,bfe2c52a9956546e821980f16ad396f248e7a39b3252d3bfc9959cba4679346b,True,[],[],https://www.bcit.ca/programs/cybersecurity-essentials-for-it-professionals-microcredential-part-time-0820cm/
0831CM,Industrial Networking for Cybersecurity Professionals,Microcredential,Part-time,School of Energy,microcredential with flat published curriculum,GREEN,none,5,5,active,346,6c7abd5fcc116803ff488924d1694d3e5b72acb94f24531fee3fea1d31ddcf95,True,[],[],https://www.bcit.ca/programs/industrial-networking-for-cybersecurity-professionals-microcredential-part-time-0831cm/
0832CM,Cybersecurity Operations,Microcredential,Part-time,School of Energy,microcredential with flat published curriculum,GREEN,none,0,0,active,347,8b14e36cfce018d344ba2e772ecdaaa9c4a0ad7da520037d1e7039506cdce227,True,[],[],https://www.bcit.ca/programs/cybersecurity-operations-microcredential-part-time-0832cm/
0839CM,"Fiber Optics - Principles, Installation and Repair",Microcredential,Part-time,School of Energy,microcredential with flat published curriculum,GREEN,none,0,0,active,348,634fa0c07ede086dd4f0b0b71f8fceefdb1b1d813289cf95826e0864cede7d66,True,[],[],https://www.bcit.ca/programs/fiber-optics-principles-installation-and-repair-microcredential-part-time-0839cm/
0845CM,Network Switching and Routing,Microcredential,Part-time,School of Energy,microcredential with flat published curriculum,GREEN,none,2,2,active,349,ae8af43c81409fcdc1f17928fcf5bb87eb6610dbd5c3c8deff1dc977630e1ab0,True,[],[],https://www.bcit.ca/programs/network-switching-and-routing-microcredential-part-time-0845cm/
1070ACERT,Airport Operations,Associate Certificate,Part-time,School of Transportation,associate certificate with flat published curriculum,GREEN,none,6,6,active,350,1a6af8b8135a9cf45c2f50f8e28724c6cee11ebf83511d06e248618ffea07cc8,True,[],[],https://www.bcit.ca/programs/airport-operations-associate-certificate-part-time-1070acert/
1190ACERT,Trades Discovery for Women,Associate Certificate,Full-time,School of Transportation,associate certificate with flat published curriculum,GREEN,none,0,0,active,351,dcf22b0361d23c3b26aea79d5d5af85564e33af4a20c651ec939ec1bf5c04c6c,True,[],[],https://www.bcit.ca/programs/trades-discovery-for-women-associate-certificate-full-time-1190acert/
1195IPCERT,Advanced Gas Turbine,BCIT/Industry Partnership Certificate,Full-time,School of Transportation,bcit/industry partnership certificate with flat published curriculum,GREEN,none,7,7,active,352,aaa8473b60d7101546c17e385f15d62d09428eacc90abce6afd6790563ad6152,True,[],[],https://www.bcit.ca/programs/advanced-gas-turbine-bcit-industry-partnership-certificate-full-time-1195ipcert/
1255CERT,Auto Body Repair and Refinishing Technician Foundation,Certificate,Full-time,School of Transportation,certificate with flat published curriculum,GREEN,none,15,15,active,353,6279c9ba3f94e1ffcee83c1a8a802e5d82399c15ea839d8d05ab4ccfb9975318,True,[],[],https://www.bcit.ca/programs/auto-body-repair-and-refinishing-technician-foundation-certificate-full-time-1255cert/
1320ADCERT,Automated Controls Installation and Maintenance,Advanced Certificate,Part-time,School of Construction and the Environment,advanced certificate with flat published curriculum,GREEN,none,3,3,active,354,37e5182ff30a29abc1e3f0f068976b45d842307c9c419e063cccdc8d7d1ca387,True,[],[],https://www.bcit.ca/programs/automated-controls-installation-and-maintenance-advanced-certificate-part-time-1320adcert/
1355TTCERT,Automotive Technician Foundation,Certificate,Full-time,School of Transportation,certificate with flat published curriculum,GREEN,none,12,12,active,355,76c4f3a2a700b5211fe15a85696eff272f2425c22089892931b34ec139db30cd,True,[],[],https://www.bcit.ca/programs/automotive-technician-foundation-certificate-full-time-1355ttcert/
1685ACERT,Railway Conductor and Operations,Associate Certificate,Part-time,School of Transportation,associate certificate with flat published curriculum,GREEN,none,0,0,active,356,77a07ec5348252e0508405b28ffb57350faf0c1898378d47be8ad9d157f4f477,True,[],[],https://www.bcit.ca/programs/railway-conductor-and-operations-associate-certificate-part-time-1685acert/
1710CERTTS,Architectural and Structural CADD and Graphics Technician (Structural Option),Certificate,Full-time,School of Construction and the Environment,certificate with flat published curriculum,GREEN,none,13,13,active,357,84cfd7ca3d42b7fd557534c399f901f8cf0bf00d401b691dd584f326176215c2,True,[],[],https://www.bcit.ca/programs/architectural-and-structural-cadd-and-graphics-technician-structural-option-certificate-full-time-1710certts/
1790ACERT,Hydronic Technician,Associate Certificate,Part-time,School of Construction and the Environment,associate certificate with flat published curriculum,GREEN,none,8,8,active,358,e76e58803f13542d1f9e5ec755e9c12e163d7028a5248628110e5bac573b6fc5,True,[],[],https://www.bcit.ca/programs/hydronic-technician-associate-certificate-part-time-1790acert/
1920CERT,Marine Mechanical Technician Foundation,Certificate,Full-time,School of Transportation,certificate with flat published curriculum,GREEN,none,16,16,active,359,6ffcc7963d5262d0c0b82bf95824bc3b061098b1931ec026314d856233361b00,True,[],[],https://www.bcit.ca/programs/marine-mechanical-technician-foundation-certificate-full-time-1920cert/
1940CERT,Heavy Mechanical Trades Foundation,Certificate,Full-time,School of Transportation,certificate with flat published curriculum,GREEN,none,14,14,active,360,205f5e0284ba52b52e9ba542356cfa6c188a6e37efe80357cc9fc1a75291f94d,True,[],[],https://www.bcit.ca/programs/heavy-mechanical-trades-foundation-certificate-full-time-1940cert/
2000TTCERT,Ironworker Foundation,Certificate,Full-time,School of Construction and the Environment,certificate with flat published curriculum,GREEN,none,13,13,active,361,c7a80ca36da4ddcf0912600dedc730e1e72c087bfb603d131732bd66e063eea2,True,[],[],https://www.bcit.ca/programs/ironworker-foundation-certificate-full-time-2000ttcert/
2020CERTTS,Chief Mate,Certificate,Part-time,School of Transportation,certificate with flat published curriculum,GREEN,none,4,4,active,362,e347ba5e9bf8c2840406aa47bd4e7a4b889c249e7ee205e76630d34e320efba0,True,[],[],https://www.bcit.ca/programs/chief-mate-certificate-part-time-2020certts/
2060CERT,Cabinetmaker (Joiner) Foundation,Certificate,Full-time,School of Construction and the Environment,certificate with flat published curriculum,GREEN,none,1,1,active,363,3468071e61ac337baeb0037392518b18e55cb93db428ec3a690350161f9e1415,True,[],[],https://www.bcit.ca/programs/cabinetmaker-joiner-foundation-certificate-full-time-2060cert/
