program_id,program_name,credential,study_mode,classification,catalog_occurrences,canonical_url,ordinary_expected,active_in_postgresql,identity_result
0020NOBCIT,Technology Entry (TE),,Full-time,non-program/special entry,2,https://www.bcit.ca/programs/technology-entry-te-full-time-0020nobcit/,False,False,OUT_OF_SCOPE
0110APPR,Diesel Engine Mechanic,Apprenticeship,Full-time,apprenticeship/training structure without identifiable course IDs,1,https://www.bcit.ca/programs/diesel-engine-mechanic-apprenticeship-full-time-0110appr/,False,False,OUT_OF_SCOPE
0120NOBCIT,International Student Entry,,Full-time,prior RED/holdback,2,https://www.bcit.ca/programs/international-student-entry-full-time-0120nobcit/,False,False,OUT_OF_SCOPE
0130NOBCIT,English for Professional and Academic Success,,Full-time,non-program/special entry,2,https://www.bcit.ca/programs/english-for-professional-and-academic-success-full-time-0130nobcit/,False,False,OUT_OF_SCOPE
0205000000,Small Business Management,Statement of Completion,Part-time,non-program/special entry,1,https://www.bcit.ca/programs/small-business-management-statement-of-completion-part-time-0205000000/,False,False,OUT_OF_SCOPE
0210NOBCIT,Masters of Digital Media,,Full-time,non-program/special entry,1,https://www.bcit.ca/programs/masters-of-digital-media-full-time-0210nobcit/,False,False,OUT_OF_SCOPE
0225000000,Human Resources,Statement of Completion,Part-time,non-program/special entry,1,https://www.bcit.ca/programs/human-resources-statement-of-completion-part-time-0225000000/,False,False,OUT_OF_SCOPE
0290000000,Leadership,Statement of Completion,Part-time,non-program/special entry,1,https://www.bcit.ca/programs/leadership-statement-of-completion-part-time-0290000000/,False,False,OUT_OF_SCOPE
0425000000,Road Area Manager Certification,Statement of Completion,Part-time,non-program/special entry,2,https://www.bcit.ca/programs/road-area-manager-certification-statement-of-completion-part-time-0425000000/,False,False,OUT_OF_SCOPE
0440000000,Dental Office Receptionist,Statement of Completion,Part-time,non-program/special entry,3,https://www.bcit.ca/programs/dental-office-receptionist-statement-of-completion-part-time-0440000000/,False,False,OUT_OF_SCOPE
0445000000,Digital Photography,Statement of Completion,Part-time,non-program/special entry,1,https://www.bcit.ca/programs/digital-photography-statement-of-completion-part-time-0445000000/,False,False,OUT_OF_SCOPE
0455000000,Lean Business Improvement,Statement of Completion,Part-time,non-program/special entry,1,https://www.bcit.ca/programs/lean-business-improvement-statement-of-completion-part-time-0455000000/,False,False,OUT_OF_SCOPE
0500000000,Management Skills in Communication and Negotiation,Statement of Completion,Part-time,non-program/special entry,1,https://www.bcit.ca/programs/management-skills-in-communication-and-negotiation-statement-of-completion-part-time-0500000000/,False,False,OUT_OF_SCOPE
0520000000,Long-term Care Management,Statement of Completion,Part-time,non-program/special entry,1,https://www.bcit.ca/programs/long-term-care-management-statement-of-completion-part-time-0520000000/,False,False,OUT_OF_SCOPE
0700000000,House Inspection,Statement of Completion,Part-time,non-program/special entry,2,https://www.bcit.ca/programs/house-inspection-statement-of-completion-part-time-0700000000/,False,False,OUT_OF_SCOPE
0705000000,International Perfusionist Equivalency Assessment (IPEA),Statement of Completion,Part-time,non-program/special entry,1,https://www.bcit.ca/programs/international-perfusionist-equivalency-assessment-ipea-statement-of-completion-part-time-0705000000/,False,False,OUT_OF_SCOPE
