reference,unresolved_count
program_courses.program,0
program_courses.course,0
program_requirements.program,0
program_requirements.course,0
curriculum_components.program,0
component_courses.component,0
component_courses.course,0
credit_requirements.program,0
credit_requirements.component,0
credit_requirement_courses.requirement,0
credit_requirement_courses.course,0
curriculum_requirements.program,0
curriculum_requirements.component,0
curriculum_requirement_courses.requirement,0
curriculum_requirement_courses.course,0
substitutions.program,0
substitutions.replaced_course,0
prerequisite_groups.course,0
prerequisite_conditions.group,0
prerequisite_conditions.course,0
prerequisite_conditions.program,0
prerequisites_import.course,0
prerequisites_import.prerequisite,0
academic_rule_sets.program,0
academic_rule_groups.rule_set,0
academic_rule_conditions.group,0
offerings.program,0
delivery_facts.program,0
aliases.program,0
relationships.program,0
relationships.related_program,0
