program_id,program_name,normalized_program_courses,components,legacy_requirements,structured_requirements,credit_pools,substitutions
0800CM,Introductory Studies in Mass Timber Construction,2,1,0,0,0,0
0801CM,Essentials of Natural Resource and Environmental Protection (MENREP),7,1,0,0,0,0
0803CM,Script Supervision and Continuity for Film and TV,5,1,0,0,0,0
0804CM,Forensic Nurse Examiner Education for RNs,2,1,0,0,0,0
0805CM,Breast Sonography,2,1,0,0,0,0
0806CM,Musculoskeletal Sonography,2,1,0,0,0,0
0810CM,Low-Code Mobile Application Development,3,1,0,0,0,0
0811CM,Essentials of Data Networks,3,1,0,0,0,0
0812CM,Cybersecurity Analysis for Network Administrators,5,1,0,0,0,0
0813CM,Advanced Forensic Nurse Examiner,7,1,0,0,0,0
0814CM,Essential Field Skills for Environmental Professionals,4,1,0,0,0,0
0815CM,Supervising Net-Zero and Passive House Construction,7,2,0,0,0,0
0816CM,Applied Circular Economy: Zero Waste Buildings,3,0,0,0,0,0
0817CM,Introduction to Forest Health Quantification with RPAS,4,1,0,0,0,0
0819CM,Essentials of Net-Zero and Passive House Construction,6,2,0,0,0,0
0820CM,Cybersecurity Essentials for IT Professionals,3,1,0,0,0,0
0822CM,Food Safety Preventive Controls and HACCP Plans,2,1,0,0,0,0
0823CM,Food Safety Management,1,1,0,0,0,0
0824CM,Animal Cell Culture,2,1,0,0,0,0
0825CM,Canadian Employment Readiness (CER),2,1,0,0,0,0
0826CM,Technical Communication Essentials,8,2,0,0,0,0
0828CM,Student Mobility Preparedness,3,1,0,0,0,0
0829CM,Building Energy Modelling and Simulation,3,1,0,0,0,0
0830CM,Whole-Building Life Cycle Assessment Professional,4,1,0,0,0,0
0831CM,Industrial Networking for Cybersecurity Professionals,5,1,0,0,0,0
0832CM,Cybersecurity Operations,4,1,0,0,0,0
0833CM,Forensic Nurse Death Investigator,2,1,0,0,0,0
0835CM,International Education Practitioner - Foundation,5,1,0,0,0,0
0836CM,Drone Applications for Environmental Risk Assessment,4,1,0,0,0,0
0837CM,Foundational Digital Forensics Skills,3,1,0,0,0,0
0838CM,Automotive Service Management Essentials,2,1,0,0,0,0
