domain,name,status,critical_findings,evidence
1,Catalog completeness,GREEN,0,373/373 ordinary identities loaded; retained 5325ACERT; missing=0; unexpected=0
2,Duplicate and identity integrity,GREEN,0,duplicate IDs=0; duplicate canonical URLs=0; controlled same-name groups=23; exact name/credential/mode collisions=0
3,Course references and ownership,GREEN,0,unresolved references=0; ownership violations=0; BCIT courses=3934; namespaced external courses=42
4,Admissions and rules,GREEN,0,374/374 programs normalized; admission sets=388; degenerate=0; impossible thresholds=0
5,Curriculum integrity,GREEN,0,programs without any curriculum path=0; legacy-only paths=0; invalid credit pools=0; invalid choice groups=0
6,Governance and revisions,YELLOW,0,active revision pointers=355/374; legacy pre-governance programs=19; bad active revisions=0; Batch 06 current hashes=65/65 and historical zero-diff=65/65
7,Sources and provenance,YELLOW,0,active program source URLs missing=0; course source URLs missing=7; retained unlisted record preserved
8,"Offerings, delivery, and campus",GREEN,0,missing study mode/campus/delivery=0/0/0; invalid campus links=0; offering mode discrepancies for review=2
9,International coverage,YELLOW,0,allowed=5; not allowed=1; conditional=2; unknown/not published=366 (never inferred)
10,"Resource, alias, and routing",GREEN,0,dangerous alias collisions=0; broken active aliases=0; generic same-name groups=23; exact-name routing covered by regression
11,Out-of-scope structures,GREEN,0,"holdbacks enumerated=52: {'non-program/special entry': 19, 'apprenticeship/training structure without identifiable course IDs': 31, 'prior RED/holdback': 2}"
12,Regression,GREEN,0,Python 429/429; browser-state 5/5.
