kind,normalized_name,normalized_credential,normalized_study_mode,program_count,program_ids,distinctions,canonical_url
same-name-distinguished,geographic information systems,,,4,,5440ADCERT | Advanced Certificate | Part-time; 8310BTECH | Bachelor of Technology | Full-time/Part-time; 9100FADVDIP | Advanced Diploma | Full-time; 9100PADVDIP | Advanced Diploma | Part-time,
same-name-distinguished,accounting,,,3,,6035DIPMA | Diploma | Full-time; 6035PDIPMA | Diploma | Part-time; 8630BACC | Bachelor's Degree | Full-time / Part-time (Flexible Learning),
same-name-distinguished,interior design,,,3,,6220FDIPMA | Diploma | Full-time; 6220PDIPMA | Diploma | Part-time; 8830BID | Bachelor of Interior Design | Full-time,
same-name-distinguished,architectural and building technology,,,2,,6030CERT | Certificate | Part-time; 7140DIPMA | Diploma | Full-time,
same-name-distinguished,business administration,,,2,,5140ACERT | Associate Certificate | Part-time; A700GRCERT | Graduate Certificate | Full-time,
same-name-distinguished,business management,,,2,,6245DIPLT | Diploma | Full-time; 6245MCERT | Certificate | Part-time,
same-name-distinguished,civil technology,,,2,,5430ACERT | Associate Certificate | Part-time; 5430CERT | Certificate | Part-time,
same-name-distinguished,computer systems,,,2,,5500CERT | Certificate | Part-time; 5500PDIPLT | Diploma | Part-time,
same-name-distinguished,construction management,,,2,,7710DIPMA | Diploma | Part-time; 8800BTECH | Bachelor of Technology / Bachelor's Degree | Full-time and Part-time,
same-name-distinguished,ecological restoration,,,2,,8040BSC | Bachelor of Science | Full-time/Part-time; M410MSC | Master of Science | Full-time/Part-time,
same-name-distinguished,finance,,,2,,6045DIPMA | Diploma | Full-time; 6045PDIPMA | Diploma | Part-time,
same-name-distinguished,financial planning,,,2,,6055DIPMA | Diploma | Full-time; 6055PDIPMA | Diploma | Part-time,
same-name-distinguished,forensic investigation (crime and intelligence analysis option),,,2,,528AADCERT | Advanced Certificate | Part-time; 847ABTECH | Bachelor of Technology | Part-time,
same-name-distinguished,forensic investigation (digital forensics and cybersecurity option),,,2,,528CADCERT | Advanced Certificate | Part-time; 847CBTECH | Bachelor of Technology | Full-time/Part-time,
same-name-distinguished,forensic investigation (forensic science option),,,2,,528BADCERT | Advanced Certificate | Part-time; 847BBTECH | Bachelor of Technology | Part-time,
same-name-distinguished,"heating, ventilation, air conditioning and refrigeration technician",,,2,,2958CERT | Certificate | Full-time; 2992DIPMA | Diploma | Full-time,
same-name-distinguished,human resource management,,,2,,625AMCERT | Certificate | Part-time; 7610ACERT | Associate Certificate | Part-time,
same-name-distinguished,magnetic resonance imaging,,,2,,7950ASCERT | Advanced Certificate | Part-time; 7975DIPMA | Diploma | Full-time,
same-name-distinguished,marine engineering,,,2,,2885ADVDIP | Advanced Diploma | Full-time; 2942DIPMA | Diploma | Full-time,
same-name-distinguished,marketing management,,,2,,6300MCERT | Certificate | Part-time; 6422DIPMA | Diploma | Full-time,
same-name-distinguished,marketing management (professional sales option),,,2,,630VMCERT | Certificate | Part-time; 642BDIPMA | Diploma | Full-time,
same-name-distinguished,radio arts and entertainment,,,2,,6110DIPMA | Diploma | Full-time; 6125ACERT | Associate Certificate | Part-time,
same-name-distinguished,sustainable business leadership,,,2,,5180ADVDIP | Advanced Diploma | Full-time; 5180PADVDIP | Advanced Diploma | Part-time,
