course_id,institution_key,native_course_code,referenced_by
UBC-BIOC-203,UBC,BIOC 203,9940BSC
UBC-BIOC-301,UBC,BIOC 301,9940BSC
UBC-BIOC-303,UBC,BIOC 303,9940BSC
UBC-BIOC-306,UBC,BIOC 306,9940BSC
UBC-BIOC-402,UBC,BIOC 402,9940BSC
UBC-BIOC-403,UBC,BIOC 403,9940BSC
UBC-BIOC-410,UBC,BIOC 410,9940BSC
UBC-BIOC-420,UBC,BIOC 420,9940BSC
UBC-BIOC-421,UBC,BIOC 421,9940BSC
UBC-BIOC-430,UBC,BIOC 430,9940BSC
UBC-BIOC-440,UBC,BIOC 440,9940BSC
UBC-BIOC-449,UBC,BIOC 449,9940BSC
UBC-BIOC-450,UBC,BIOC 450,9940BSC
UBC-BIOC-460,UBC,BIOC 460,9940BSC
UBC-BIOC-470,UBC,BIOC 470,9940BSC
UBC-BIOL-112,UBC,BIOL 112,9940BSC
UBC-BIOL-200,UBC,BIOL 200,9940BSC
UBC-BIOL-234,UBC,BIOL 234,9940BSC
UBC-BIOL-301,UBC,BIOL 301,9940BSC
UBC-BIOL-335,UBC,BIOL 335,9940BSC
UBC-BIOL-336,UBC,BIOL 336,9940BSC
UBC-BIOL-462,UBC,BIOL 462,9940BSC
UBC-CHEM-111,UBC,CHEM 111,9940BSC
UBC-CHEM-121,UBC,CHEM 121,9940BSC
UBC-CHEM-123,UBC,CHEM 123,9940BSC
UBC-CHEM-141,UBC,CHEM 141,9940BSC
UBC-CHEM-203,UBC,CHEM 203,9940BSC
UBC-CHEM-211,UBC,CHEM 211,9940BSC
UBC-CHEM-213,UBC,CHEM 213,9940BSC
UBC-CHEM-245,UBC,CHEM 245,9940BSC
UBC-CPSC-103,UBC,CPSC 103,9940BSC
UBC-CPSC-203,UBC,CPSC 203,9940BSC
UBC-CPSC-330,UBC,CPSC 330,9940BSC
UBC-DSCI-100,UBC,DSCI 100,9940BSC
UBC-MATH-100,UBC,MATH 100,9940BSC
UBC-MATH-102,UBC,MATH 102,9940BSC
UBC-MATH-104,UBC,MATH 104,9940BSC
UBC-MEDG-421,UBC,MEDG 421,9940BSC
UBC-MICB-405,UBC,MICB 405,9940BSC
UBC-PCTH-325,UBC,PCTH 325,9940BSC
UBC-SCIE-113,UBC,SCIE 113,9940BSC
UBC-STAT-201,UBC,STAT 201,9940BSC
