program_id,program_name,revision_id,lifecycle_status,payload_sha256,review_status,human_approved,import_status,source_url,exact_hash_approved,payload_hash_recomputed_matches
0800CM,Introductory Studies in Mass Timber Construction,565,active,07ffc6b5dba5e1ba3f81999a13e8e65c5c9c6aac5ed4c0bb2000a89476eb917a,needs-human-review,True,applied,https://www.bcit.ca/programs/introductory-studies-in-mass-timber-construction-microcredential-part-time-0800cm/,True,True
0801CM,Essentials of Natural Resource and Environmental Protection (MENREP),566,active,c69d34f6cec82fb683a6075f5190756a59764e192f595bc216f71f4e206f9eb3,needs-human-review,True,applied,https://www.bcit.ca/programs/essentials-of-natural-resource-and-environmental-protection-menrep-microcredential-part-time-0801cm/,True,True
0803CM,Script Supervision and Continuity for Film and TV,567,active,ba84bf374231f7b3194fe0619c9293cbdcfe70b26539de95d10b502c7f20624b,needs-human-review,True,applied,https://www.bcit.ca/programs/script-supervision-and-continuity-for-film-and-tv-microcredential-part-time-0803cm/,True,True
0804CM,Forensic Nurse Examiner Education for RNs,342,active,b98703bc184a5af5ff576a27c2b10c97146bfd2ef0e95cc64ae418a429895488,needs-human-review,True,applied,https://www.bcit.ca/programs/forensic-nurse-examiner-education-for-rns-microcredential-part-time-0804cm/,True,True
0805CM,Breast Sonography,449,active,9fa34afc28f067b3a8c981886985975d862e277bdcc8c46efe0192e7a9a21c9c,needs-human-review,True,applied,https://www.bcit.ca/programs/breast-sonography-microcredential-part-time-0805cm/,True,True
0806CM,Musculoskeletal Sonography,450,active,4911f3c9770d8c485d2f368759eed89795512d9f2f79ed25dc23e6b403fbec09,needs-human-review,True,applied,https://www.bcit.ca/programs/musculoskeletal-sonography-microcredential-part-time-0806cm/,True,True
0810CM,Low-Code Mobile Application Development,343,active,397080d56aedd27b7b60111d100c8062bbd5643c0284437af26d14ed9d5f199f,needs-human-review,True,applied,https://www.bcit.ca/programs/low-code-mobile-application-development-microcredential-part-time-0810cm/,True,True
0811CM,Essentials of Data Networks,451,active,8f22d2c6b96d29b0fd14d68ef12a61e2888ebde7725e5811f42173fcb9bfa7d8,needs-human-review,True,applied,https://www.bcit.ca/programs/essentials-of-data-networks-microcredential-part-time-0811cm/,True,True
0812CM,Cybersecurity Analysis for Network Administrators,452,active,dd5ba9368539182809f8982eca07deec432ba81aadd5b30cf9b07dd83ccda4e5,needs-human-review,True,applied,https://www.bcit.ca/programs/cybersecurity-analysis-for-network-administrators-microcredential-part-time-0812cm/,True,True
0813CM,Advanced Forensic Nurse Examiner,344,active,9fcc7202e2c7d95549caa4c9421089d56e7a177a28d41831bd5ac09438fe9fc3,needs-human-review,True,applied,https://www.bcit.ca/programs/advanced-forensic-nurse-examiner-microcredential-part-time-0813cm/,True,True
0814CM,Essential Field Skills for Environmental Professionals,568,active,fc7573526e1fca3a807207c6d401e6f6b8e212b979345879d1fe0b65cac59961,needs-human-review,True,applied,https://www.bcit.ca/programs/essential-field-skills-for-environmental-professionals-microcredential-part-time-0814cm/,True,True
0815CM,Supervising Net-Zero and Passive House Construction,569,active,b483eb0ee5909f6ad9252171cca52535b588727e4e9eefa95c09278d3fe1c813,needs-human-review,True,applied,https://www.bcit.ca/programs/supervising-net-zero-and-passive-house-construction-microcredential-part-time-0815cm/,True,True
0816CM,Applied Circular Economy: Zero Waste Buildings,,,,,,,,False,False
0817CM,Introduction to Forest Health Quantification with RPAS,570,active,ca15cb97bffe418f576f7b0f21d837f3c75fbfa4472bda97af5e703e452f624c,needs-human-review,True,applied,https://www.bcit.ca/programs/introduction-to-forest-health-quantification-with-rpas-microcredential-part-time-0817cm/,True,True
0819CM,Essentials of Net-Zero and Passive House Construction,571,active,ad456059859621d3da89a2e241bc922639c07fc7ebcd73ae2cea517e1f34f98a,needs-human-review,True,applied,https://www.bcit.ca/programs/essentials-of-net-zero-and-passive-house-construction-microcredential-part-time-0819cm/,True,True
0820CM,Cybersecurity Essentials for IT Professionals,345,active,bfe2c52a9956546e821980f16ad396f248e7a39b3252d3bfc9959cba4679346b,needs-human-review,True,applied,https://www.bcit.ca/programs/cybersecurity-essentials-for-it-professionals-microcredential-part-time-0820cm/,True,True
0822CM,Food Safety Preventive Controls and HACCP Plans,453,active,4a0dac84c532f537a8abb7d2bd796bcda0192828254e7daa41816b3cac89e232,needs-human-review,True,applied,https://www.bcit.ca/programs/food-safety-preventive-controls-and-haccp-plans-microcredential-part-time-0822cm/,True,True
0823CM,Food Safety Management,454,active,a7624bd0829db1011a95fd7600f7c03a468def0e8f9923f0fa2ec79ffad9c480,needs-human-review,True,applied,https://www.bcit.ca/programs/food-safety-management-microcredential-part-time-0823cm/,True,True
0824CM,Animal Cell Culture,455,active,c5905eb9376928e9bd8d6e20f0ae056ee1f2965286adf71787bb80313cd5a911,needs-human-review,True,applied,https://www.bcit.ca/programs/animal-cell-culture-microcredential-part-time-0824cm/,True,True
