program_id,program_name,classification,reason,official_course_reference_count,url
0020NOBCIT,Technology Entry (TE),non-program/special entry,Current catalog listing is a Statement of Completion or uses a NOBCIT/non-credential identifier.,8,https://www.bcit.ca/programs/technology-entry-te-full-time-0020nobcit/
0110APPR,Diesel Engine Mechanic,apprenticeship/training structure without identifiable course IDs,Current apprenticeship page publishes training levels/hours without identifiable BCIT course IDs.,0,https://www.bcit.ca/programs/diesel-engine-mechanic-apprenticeship-full-time-0110appr/
0120NOBCIT,International Student Entry,prior RED/holdback,Official curriculum publishes no identifiable BCIT course references.,0,https://www.bcit.ca/programs/international-student-entry-full-time-0120nobcit/
0130NOBCIT,English for Professional and Academic Success,non-program/special entry,Current catalog listing is a Statement of Completion or uses a NOBCIT/non-credential identifier.,8,https://www.bcit.ca/programs/english-for-professional-and-academic-success-full-time-0130nobcit/
0205000000,Small Business Management,non-program/special entry,Current catalog listing is a Statement of Completion or uses a NOBCIT/non-credential identifier.,6,https://www.bcit.ca/programs/small-business-management-statement-of-completion-part-time-0205000000/
0210NOBCIT,Masters of Digital Media,non-program/special entry,Current catalog listing is a Statement of Completion or uses a NOBCIT/non-credential identifier.,0,https://www.bcit.ca/programs/masters-of-digital-media-full-time-0210nobcit/
0225000000,Human Resources,non-program/special entry,Current catalog listing is a Statement of Completion or uses a NOBCIT/non-credential identifier.,4,https://www.bcit.ca/programs/human-resources-statement-of-completion-part-time-0225000000/
0290000000,Leadership,non-program/special entry,Current catalog listing is a Statement of Completion or uses a NOBCIT/non-credential identifier.,4,https://www.bcit.ca/programs/leadership-statement-of-completion-part-time-0290000000/
0425000000,Road Area Manager Certification,non-program/special entry,Current catalog listing is a Statement of Completion or uses a NOBCIT/non-credential identifier.,6,https://www.bcit.ca/programs/road-area-manager-certification-statement-of-completion-part-time-0425000000/
0440000000,Dental Office Receptionist,non-program/special entry,Current catalog listing is a Statement of Completion or uses a NOBCIT/non-credential identifier.,3,https://www.bcit.ca/programs/dental-office-receptionist-statement-of-completion-part-time-0440000000/
0445000000,Digital Photography,non-program/special entry,Current catalog listing is a Statement of Completion or uses a NOBCIT/non-credential identifier.,4,https://www.bcit.ca/programs/digital-photography-statement-of-completion-part-time-0445000000/
0455000000,Lean Business Improvement,non-program/special entry,Current catalog listing is a Statement of Completion or uses a NOBCIT/non-credential identifier.,3,https://www.bcit.ca/programs/lean-business-improvement-statement-of-completion-part-time-0455000000/
