program_id,program_name,classification,structured_value,legacy_boolean,source_url
0800CM,Introductory Studies in Mass Timber Construction,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/introductory-studies-in-mass-timber-construction-microcredential-part-time-0800cm/
0801CM,Essentials of Natural Resource and Environmental Protection (MENREP),unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/essentials-of-natural-resource-and-environmental-protection-menrep-microcredential-part-time-0801cm/
0803CM,Script Supervision and Continuity for Film and TV,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/script-supervision-and-continuity-for-film-and-tv-microcredential-part-time-0803cm/
0804CM,Forensic Nurse Examiner Education for RNs,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/forensic-nurse-examiner-education-for-rns-microcredential-part-time-0804cm/
0805CM,Breast Sonography,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/breast-sonography-microcredential-part-time-0805cm/
0806CM,Musculoskeletal Sonography,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/musculoskeletal-sonography-microcredential-part-time-0806cm/
0810CM,Low-Code Mobile Application Development,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/low-code-mobile-application-development-microcredential-part-time-0810cm/
0811CM,Essentials of Data Networks,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/essentials-of-data-networks-microcredential-part-time-0811cm/
0812CM,Cybersecurity Analysis for Network Administrators,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/cybersecurity-analysis-for-network-administrators-microcredential-part-time-0812cm/
0813CM,Advanced Forensic Nurse Examiner,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/advanced-forensic-nurse-examiner-microcredential-part-time-0813cm/
0814CM,Essential Field Skills for Environmental Professionals,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/essential-field-skills-for-environmental-professionals-microcredential-part-time-0814cm/
0815CM,Supervising Net-Zero and Passive House Construction,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/supervising-net-zero-and-passive-house-construction-microcredential-part-time-0815cm/
0816CM,Applied Circular Economy: Zero Waste Buildings,unknown/not published,,True,
0817CM,Introduction to Forest Health Quantification with RPAS,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/introduction-to-forest-health-quantification-with-rpas-microcredential-part-time-0817cm/
0819CM,Essentials of Net-Zero and Passive House Construction,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/essentials-of-net-zero-and-passive-house-construction-microcredential-part-time-0819cm/
