program_id,action,proposed_db_actions,blockers
0800CM,UNCHANGED,[],[]
0803CM,UNCHANGED,[],[]
0810CM,UNCHANGED,[],[]
0811CM,UNCHANGED,[],[]
0812CM,UNCHANGED,[],[]
0813CM,UNCHANGED,[],[]
0815CM,UNCHANGED,[],[]
0816CM,UNCHANGED,[],[]
0819CM,UNCHANGED,[],[]
0820CM,UNCHANGED,[],[]
0822CM,UNCHANGED,[],[]
0825CM,UNCHANGED,[],[]
0826CM,UNCHANGED,[],[]
0828CM,UNCHANGED,[],[]
0829CM,UNCHANGED,[],[]
0830CM,UNCHANGED,[],[]
0832CM,UNCHANGED,[],[]
0833CM,UNCHANGED,[],[]
0835CM,UNCHANGED,[],[]
0837CM,UNCHANGED,[],[]
0838CM,UNCHANGED,[],[]
0840CM,UNCHANGED,[],[]
0841CM,UNCHANGED,[],[]
0842CM,UNCHANGED,[],[]
0843CM,UNCHANGED,[],[]
0844CM,UNCHANGED,[],[]
0845CM,UNCHANGED,[],[]
0847CM,UNCHANGED,[],[]
0848CM,UNCHANGED,[],[]
0849CM,UNCHANGED,[],[]
0850CM,UNCHANGED,[],[]
0852CM,UNCHANGED,[],[]
0854CM,UNCHANGED,[],[]
0855CM,UNCHANGED,[],[]
0859CM,UNCHANGED,[],[]
0861CM,UNCHANGED,[],[]
0864CM,UNCHANGED,[],[]
0866CM,UNCHANGED,[],[]
0870CM,UNCHANGED,[],[]
0872CM,UNCHANGED,[],[]
0873CM,UNCHANGED,[],[]
0876CM,UNCHANGED,[],[]
100ADIPMA,UNCHANGED,[],[]
100BDIPMA,UNCHANGED,[],[]
1030CERTTS,UNCHANGED,[],[]
1070ACERT,UNCHANGED,[],[]
1155ACERT,UNCHANGED,[],[]
1165DIPMA,UNCHANGED,[],[]
1175DIPMA,UNCHANGED,[],[]
1205DIPMA,UNCHANGED,[],[]
