checked_at,declared_canonical_url,error,final_url,hash_change_explanation,key,live_content_sha256,live_path,live_sha256,snapshot_content_sha256,snapshot_path,snapshot_sha256,url,verification
2026-09-08T19:50:16.366048+00:00,https://www.bcit.ca/programs/specialty-nursing-critical-care-standard-option-bachelor-of-science-in-nursing-part-time-810absn/,,https://www.bcit.ca/programs/specialty-nursing-critical-care-standard-option-bachelor-of-science-in-nursing-part-time-810absn/,"Live individual program page is revalidated by exact program ID, declared canonical URL, and required eligibility text.",810ABSN,9794f2168a4e6a10f037df2c52b59709b41ef86b828dfd02a4d252f65bbacc29,program_extractor_audit\international_enrichment_plan\sources\810ABSN.html,c0cf35520fd065f3635036db070b130079d6eb1997458d5f2f38344b638d63b0,59249a0f56ab8238fb3e1adaa934dbb15bd5cea79b1109e086426e7f8d715047,work\nursing_live\810ABSN.html,cebb6574707ee2ed507b277a109a12db411e2d5007354b4a62876187ad30a35c,https://www.bcit.ca/programs/specialty-nursing-critical-care-standard-option-bachelor-of-science-in-nursing-part-time-810absn/,LIVE_PROGRAM_PAGE_SEMANTICALLY_REVERIFIED
2026-09-08T19:50:16.941149+00:00,https://www.bcit.ca/programs/specialty-nursing-emergency-standard-option-bachelor-of-science-in-nursing-part-time-distance-and-online-learning-810bbsn/,,https://www.bcit.ca/programs/specialty-nursing-emergency-standard-option-bachelor-of-science-in-nursing-part-time-810bbsn/,"Live individual program page is revalidated by exact program ID, declared canonical URL, and required eligibility text.",810BBSN,888218c316e500609cc337309d17d07c1fc065a4c1b50edcaac7019a7e9aaf9d,program_extractor_audit\international_enrichment_plan\sources\810BBSN.html,2ee400b6b6262b1ea16c9dd3e83509c2d5fa2f0f8d2fe2969d6e81e40f6ede67,c3435785168b15fe70bda35c1c2804e077db9514508bd07908e5bd5b15561b16,work\nursing_live\810BBSN.html,42488a723ac64b5578aa3849eeeab54858f0416f5fa4c236cd1d37802d83b11e,https://www.bcit.ca/programs/specialty-nursing-emergency-standard-option-bachelor-of-science-in-nursing-part-time-distance-and-online-learning-810bbsn/,LIVE_PROGRAM_PAGE_SEMANTICALLY_REVERIFIED
2026-09-08T19:50:16.960656+00:00,https://www.bcit.ca/programs/specialty-nursing-neonatal-bachelor-of-science-in-nursing-part-time-distance-and-online-learning-810cbsn/,,https://www.bcit.ca/programs/specialty-nursing-neonatal-bachelor-of-science-in-nursing-part-time-810cbsn/,"Live individual program page is revalidated by exact program ID, declared canonical URL, and required eligibility text.",810CBSN,bfc3519b4ecd614c343831517e02d28bb350707fc91bff4e3535137d3c73ddf7,program_extractor_audit\international_enrichment_plan\sources\810CBSN.html,8d744aa1cd5f701d9702b3110939a998578e64758d6ef648241f7b7dd802eeba,e5fcca33101cf7f87005398a9b9d4ab9a375a64e010b33fa98101a7bfa172da1,work\nursing_live\810CBSN.html,2640c9299438b8ee649ce6db0aa90ed86a257a725cdafe6afc45c144a6c1fe38,https://www.bcit.ca/programs/specialty-nursing-neonatal-bachelor-of-science-in-nursing-part-time-distance-and-online-learning-810cbsn/,LIVE_PROGRAM_PAGE_SEMANTICALLY_REVERIFIED
2026-09-08T19:50:16.993159+00:00,https://www.bcit.ca/programs/specialty-nursing-nephrology-bachelor-of-science-in-nursing-part-time-810dbsn/,,https://www.bcit.ca/programs/specialty-nursing-nephrology-bachelor-of-science-in-nursing-part-time-810dbsn/,"Live individual program page is revalidated by exact program ID, declared canonical URL, and required eligibility text.",810DBSN,f41ec1459b441fb4d9427442f9b0dfd83eb8312122de611fb57465b87dd38898,program_extractor_audit\international_enrichment_plan\sources\810DBSN.html,45a3aecf755d8c9ae6381ec5edbbe95333188e48a4b401c925342046345f502d,208e25d43cecf2d2e3b48d2ed35cc9b4cfa9b5ccf4311f3ac1f7c451a708e305,work\nursing_live\810DBSN.html,b33618f59aa22ecbba37c7dd5c3f02ed026308db012d5f3da60f1be4cad88581,https://www.bcit.ca/programs/specialty-nursing-nephrology-bachelor-of-science-in-nursing-part-time-810dbsn/,LIVE_PROGRAM_PAGE_SEMANTICALLY_REVERIFIED
2026-09-08T19:50:17.172808+00:00,https://www.bcit.ca/programs/specialty-nursing-pediatric-standard-option-bachelor-of-science-in-nursing-part-time-810fbsn/,,https://www.bcit.ca/programs/specialty-nursing-pediatric-standard-option-bachelor-of-science-in-nursing-part-time-810fbsn/,"Live individual program page is revalidated by exact program ID, declared canonical URL, and required eligibility text.",810FBSN,14a9a788b9f73ae05e1e27a3c12a2bf4799df28c4ea109c0203bf8f87b188d45,program_extractor_audit\international_enrichment_plan\sources\810FBSN.html,4895da4c7c5a07d13af38a30de2df34a6672239177f92b66ded39275e0eb88d3,76b380d2bddcb5207abad79aaa8c891a4e6b7dd96bffab1311d379b0a7694a37,work\nursing_live\810FBSN.html,8c8a6f6f7a13c218d4b17e4cdf2c8ad89d5b451efefe280ac5654e842a63a326,https://www.bcit.ca/programs/specialty-nursing-pediatric-standard-option-bachelor-of-science-in-nursing-part-time-810fbsn/,LIVE_PROGRAM_PAGE_SEMANTICALLY_REVERIFIED
2026-09-08T19:50:17.193334+00:00,https://www.bcit.ca/programs/specialty-nursing-perinatal-standard-option-bachelor-of-science-in-nursing-part-time-810gbsn/,,https://www.bcit.ca/programs/specialty-nursing-perinatal-standard-option-bachelor-of-science-in-nursing-part-time-810gbsn/,"Live individual program page is revalidated by exact program ID, declared canonical URL, and required eligibility text.",810GBSN,c28c409047e3195ca8f5ee92cba6d0eb735fd903df4a5299ddb92dae7f485b0d,program_extractor_audit\international_enrichment_plan\sources\810GBSN.html,c7a07c2650bca708b4d4f1691d52ab5a9fe5b6e9961777e8d05a95b268cd6d70,a7675a1b6530b4e93ef505c347a7c74c0551efb5fa329b695488a51072beb0eb,work\nursing_live\810GBSN.html,fa86bc5129155b3aa3106e749f5b5549ee29c808efbf9a287577133f1cdac11b,https://www.bcit.ca/programs/specialty-nursing-perinatal-standard-option-bachelor-of-science-in-nursing-part-time-810gbsn/,LIVE_PROGRAM_PAGE_SEMANTICALLY_REVERIFIED
2026-09-08T19:50:17.430110+00:00,https://www.bcit.ca/programs/specialty-nursing-perioperative-bachelor-of-science-in-nursing-part-time-810hbsn/,,https://www.bcit.ca/programs/specialty-nursing-perioperative-bachelor-of-science-in-nursing-part-time-810hbsn/,"Live individual program page is revalidated by exact program ID, declared canonical URL, and required eligibility text.",810HBSN,d1efe4363182b1748be2e8c1a86f7156c753394a0aa5d78703f48afc89d5ca62,program_extractor_audit\international_enrichment_plan\sources\810HBSN.html,fdd7c88164cec0eab71801fe856e52a9055419aa089cb6c4f81360b1261f6338,1a4ec74c4b5538bd9be0e59fba0a4fcd0b26779932bd5377aac959fea844ab90,work\nursing_live\810HBSN.html,957f79b2178800fe83bd6ba5c23cacbab601a0739b345e50a336659c4f038d43,https://www.bcit.ca/programs/specialty-nursing-perioperative-bachelor-of-science-in-nursing-part-time-810hbsn/,LIVE_PROGRAM_PAGE_SEMANTICALLY_REVERIFIED
2026-09-08T19:50:17.632483+00:00,https://www.bcit.ca/programs/specialty-nursing-critical-care-combined-critical-care-emergency-option-bachelor-of-science-in-nursing-part-time-distance-and-online-learning-810kbsn/,,https://www.bcit.ca/programs/specialty-nursing-critical-care-combined-critical-care-emergency-option-bachelor-of-science-in-nursing-part-time-810kbsn/,"Live individual program page is revalidated by exact program ID, declared canonical URL, and required eligibility text.",810KBSN,2b04ae1fa4bf89e6621ce08cda8d845fc6bbc2c512afb6a17a53adbc3e7a7b14,program_extractor_audit\international_enrichment_plan\sources\810KBSN.html,124ada7f63e2e5c4221c91f7eec6adc3aa4d07333ebc6b0e374e0982beeca428,ad5104a2f093adb537ff833d033ed2d8f8640d7ab04634f56c8ff0b1f24e22e7,work\nursing_live\810KBSN.html,8abd084980c6fb6a4b8bda7526c6badf8fe1428af795d651acc59380fe34ae1a,https://www.bcit.ca/programs/specialty-nursing-critical-care-combined-critical-care-emergency-option-bachelor-of-science-in-nursing-part-time-distance-and-online-learning-810kbsn/,LIVE_PROGRAM_PAGE_SEMANTICALLY_REVERIFIED
2026-09-08T19:50:17.740521+00:00,https://www.bcit.ca/programs/specialty-nursing-high-acuity-bachelor-of-science-in-nursing-part-time-810mbsn/,,https://www.bcit.ca/programs/specialty-nursing-high-acuity-bachelor-of-science-in-nursing-part-time-810mbsn/,"Live individual program page is revalidated by exact program ID, declared canonical URL, and required eligibility text.",810MBSN,d27c09703bf4a5fd7324a3cd8104ff89b639c3ba81f2b81bc5ae02598ce12d40,program_extractor_audit\international_enrichment_plan\sources\810MBSN.html,51d6d1b0aa9faed91f1efcb4d6863fa37404aeb197ca5bfb1074b1fe77eb2bed,dbc957d0735a029a6e8964797d9d5c0ab8601c747e19338c8e35c66df6b2a12d,work\nursing_live\810MBSN.html,dc84476a235387b56211db58f18e0977af68c913a12ebc44cf0a5884c191073e,https://www.bcit.ca/programs/specialty-nursing-high-acuity-bachelor-of-science-in-nursing-part-time-810mbsn/,LIVE_PROGRAM_PAGE_SEMANTICALLY_REVERIFIED
2026-09-08T19:50:18.322649+00:00,https://www.bcit.ca/programs/specialty-nursing-emergency-combined-emergency-critical-care-option-bachelor-of-science-in-nursing-part-time-distance-and-online-learning-810nbsn/,,https://www.bcit.ca/programs/specialty-nursing-emergency-combined-emergency-critical-care-option-bachelor-of-science-in-nursing-part-time-810nbsn/,"Live individual program page is revalidated by exact program ID, declared canonical URL, and required eligibility text.",810NBSN,499d2498827e54d443ac7e0c277a08ded9d488b653e499414997402edc7593c8,program_extractor_audit\international_enrichment_plan\sources\810NBSN.html,2bea2aab65b06dbca22ef97dd85bb690f6f9db63a1051624c3a522edcd2d44c5,e3288667b0de17b6a41c805aea242c243931d18219c0d7df63550c68eacd9401,work\nursing_live\810NBSN.html,c52c4da3befb96519f3cd4fc9ed98303f9a45619d1697dcba5e1719a6c3b3769,https://www.bcit.ca/programs/specialty-nursing-emergency-combined-emergency-critical-care-option-bachelor-of-science-in-nursing-part-time-distance-and-online-learning-810nbsn/,LIVE_PROGRAM_PAGE_SEMANTICALLY_REVERIFIED
2026-09-08T19:50:18.454656+00:00,https://www.bcit.ca/programs/specialty-nursing-pediatric-critical-care-option-bachelor-of-science-in-nursing-part-time-810qbsn/,,https://www.bcit.ca/programs/specialty-nursing-pediatric-critical-care-option-bachelor-of-science-in-nursing-part-time-810qbsn/,"Live individual program page is revalidated by exact program ID, declared canonical URL, and required eligibility text.",810QBSN,0f72108e61795abf3a28482851180d7bad3b8a82b4b5e7183d926f893a02bee7,program_extractor_audit\international_enrichment_plan\sources\810QBSN.html,f6705dbb405f6e3625a9ec78f199f70bb5e10ffd1c533164ae84bada846ae4e3,301e30e1028a9040d640a6542fefd3e75c5c0212b41d122bd4adbe0550d3ab42,work\nursing_live\810QBSN.html,1bc6bc4784ff7387f9ee181202221636a3ee934a66585ca7d4c201e449e2b5e5,https://www.bcit.ca/programs/specialty-nursing-pediatric-critical-care-option-bachelor-of-science-in-nursing-part-time-810qbsn/,LIVE_PROGRAM_PAGE_SEMANTICALLY_REVERIFIED
2026-09-08T19:50:18.493290+00:00,https://www.bcit.ca/programs/specialty-nursing-perinatal-perioperative-option-bachelor-of-science-in-nursing-part-time-810sbsn/,,https://www.bcit.ca/programs/specialty-nursing-perinatal-perioperative-option-bachelor-of-science-in-nursing-part-time-810sbsn/,"Live individual program page is revalidated by exact program ID, declared canonical URL, and required eligibility text.",810SBSN,047987fc30d8e73b0bc45c16ea7764ab062537e0dd32ae22b47e432c41b91ff1,program_extractor_audit\international_enrichment_plan\sources\810SBSN.html,d7fd93958503b18a9f88592d802bcc45e147afaa75518a3f9d0f6eb569d416b0,0b7531a91d352ef338a5dcd96d46034384198e1af8ad79923681a984ed25f70a,work\nursing_live\810SBSN.html,0ca738ecf0d18cf29c45961035bd1264354d6ab44512dd16a98816612b9b5758,https://www.bcit.ca/programs/specialty-nursing-perinatal-perioperative-option-bachelor-of-science-in-nursing-part-time-810sbsn/,LIVE_PROGRAM_PAGE_SEMANTICALLY_REVERIFIED
2026-09-08T19:50:18.712730+00:00,https://www.bcit.ca/programs/accounting-bachelor-of-accounting-full-time-part-time-8630bacc/,,https://www.bcit.ca/programs/accounting-bachelor-of-accounting-full-time-part-time-8630bacc/,"Live individual program page is revalidated by exact program ID, declared canonical URL, and required eligibility text.",8630BACC,58a1714dc3084f3cb60396cd0f523b500ac1f7aa6948c09144e090ad80b9f219,program_extractor_audit\international_enrichment_plan\sources\8630BACC.html,1a3a75da020a368cb6cdab5859b11da29f9463fc7885f9bbcb24c6c94e8a4146,,work\nursing_live\8630BACC.html,,https://www.bcit.ca/programs/accounting-bachelor-of-accounting-full-time-part-time-8630bacc/,LIVE_PROGRAM_PAGE_SEMANTICALLY_REVERIFIED
2026-09-08T19:50:18.729205+00:00,https://www.bcit.ca/programs/nursing-bachelor-of-science-in-nursing-full-time-8875bsn/,,https://www.bcit.ca/programs/nursing-bachelor-of-science-in-nursing-full-time-8875bsn/,"Live individual program page is revalidated by exact program ID, declared canonical URL, and required eligibility text.",8875BSN,31fe11db6f425aba6b32654218ec735ba415bbaebfd17180a09a2b836e91b4c9,program_extractor_audit\international_enrichment_plan\sources\8875BSN.html,bd669b8178279428c8f8e6b4c3f805363204a6c5b0e8f8011104cd5972bca457,bfa2c7eb7d863529d315f6b8080526b73137b9b331a609bb8001b9048a3f0b35,work\nursing_live\8875BSN.html,ee2aa884c80bf2365cb1426672281e2a7073de9d2a42c826e5f70fdabf2bb34a,https://www.bcit.ca/programs/nursing-bachelor-of-science-in-nursing-full-time-8875bsn/,LIVE_PROGRAM_PAGE_SEMANTICALLY_REVERIFIED
