program_id,program_name,classification,delivery_fact_status,rule_statuses,has_delivery_facts_row
0800CM,Introductory Studies in Mass Timber Construction,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
0801CM,Essentials of Natural Resource and Environmental Protection (MENREP),UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,[],True
0803CM,Script Supervision and Continuity for Film and TV,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
0804CM,Forensic Nurse Examiner Education for RNs,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,[],True
0805CM,Breast Sonography,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,[],True
0806CM,Musculoskeletal Sonography,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,[],True
0810CM,Low-Code Mobile Application Development,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
0811CM,Essentials of Data Networks,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
0812CM,Cybersecurity Analysis for Network Administrators,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
0813CM,Advanced Forensic Nurse Examiner,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
0814CM,Essential Field Skills for Environmental Professionals,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,[],True
0815CM,Supervising Net-Zero and Passive House Construction,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
0816CM,Applied Circular Economy: Zero Waste Buildings,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
0817CM,Introduction to Forest Health Quantification with RPAS,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,[],True
