program_id,source_url,source_title,credential,format,domestic_only,intake_start,application_status,campus,matched
6575DIPMA,https://www.bcit.ca/programs/3d-modeling-art-and-animation-diploma-full-time-6575dipma/,"3D Modeling, Art and Animation",Diploma,Full-time,false,Sep 2026,Closed,Blended: Burnaby Campus,true
8630BACC,https://www.bcit.ca/programs/accounting-bachelor-of-accounting-full-time-part-time-8630bacc/,Accounting,Bachelor of Accounting,Full-time,false,Sep 2026,Closed,Burnaby Campus,true
8630BACC,https://www.bcit.ca/programs/accounting-bachelor-of-accounting-full-time-part-time-8630bacc/,Accounting,Bachelor of Accounting,Full-time,false,Jan 2027,Open,Burnaby Campus,true
8630BACC,https://www.bcit.ca/programs/accounting-bachelor-of-accounting-full-time-part-time-8630bacc/,Accounting,Bachelor of Accounting,Part-time,false,Sep 2026,Closed,Burnaby Campus,true
8630BACC,https://www.bcit.ca/programs/accounting-bachelor-of-accounting-full-time-part-time-8630bacc/,Accounting,Bachelor of Accounting,Part-time,false,Jan 2027,Open,Burnaby Campus,true
8630BACC,https://www.bcit.ca/programs/accounting-bachelor-of-accounting-full-time-part-time-8630bacc/,Accounting,Bachelor of Accounting,Part-time - Domestic Only,true,Apr 2027,Open,Burnaby Campus,true
,https://www.bcit.ca/programs/accounting-diplomas/,Accounting,Diploma,Full-time,false,Sep 2026,Closed,Blended: Burnaby Campus,false
,https://www.bcit.ca/programs/accounting-diplomas/,Accounting,Diploma,Part-time,false,Sep 2026,Closed,Blended: Burnaby/Downtown,false
,https://www.bcit.ca/programs/accounting-diplomas/,Accounting,Diploma,Part-time,false,Jan 2027,Open,Blended: Burnaby/Downtown,false
,https://www.bcit.ca/programs/accounting-diplomas/,Accounting,Diploma,Part-time - Domestic Only,true,Apr 2027,Open,Blended: Burnaby/Downtown,false
6890CERT,https://www.bcit.ca/programs/advanced-safety-management-certificate-part-time-6890cert/,Advanced Safety Management,Certificate,Part-time,false,Sep 2026,Closed,Online,true
6890CERT,https://www.bcit.ca/programs/advanced-safety-management-certificate-part-time-6890cert/,Advanced Safety Management,Certificate,Part-time,false,Jan 2027,Open,Online,true
6890CERT,https://www.bcit.ca/programs/advanced-safety-management-certificate-part-time-6890cert/,Advanced Safety Management,Certificate,Part-time,false,Apr 2027,Open,Online,true
5530ACERT,https://www.bcit.ca/programs/agile-development-associate-certificate-part-time-5530acert/,Agile Development,Associate Certificate,Part-time,false,Sep 2026,Closed,Blended: Burnaby/Downtown,true
5530ACERT,https://www.bcit.ca/programs/agile-development-associate-certificate-part-time-5530acert/,Agile Development,Associate Certificate,Part-time,false,Sep 2026,Closed,Online,true
5530ACERT,https://www.bcit.ca/programs/agile-development-associate-certificate-part-time-5530acert/,Agile Development,Associate Certificate,Part-time,false,Jan 2027,Open,Blended: Burnaby/Downtown,true
5530ACERT,https://www.bcit.ca/programs/agile-development-associate-certificate-part-time-5530acert/,Agile Development,Associate Certificate,Part-time,false,Jan 2027,Open,Online,true
5530ACERT,https://www.bcit.ca/programs/agile-development-associate-certificate-part-time-5530acert/,Agile Development,Associate Certificate,Part-time,false,Apr 2027,Open,Blended: Burnaby/Downtown,true
5530ACERT,https://www.bcit.ca/programs/agile-development-associate-certificate-part-time-5530acert/,Agile Development,Associate Certificate,Part-time,false,Apr 2027,Open,Online,true
1030CERTTS,https://www.bcit.ca/programs/aircraft-gas-turbine-technician-certificate-full-time-1030certts/,Aircraft Gas Turbine Technician,Certificate,Full-time,false,Ongoing intake,Waitlisting,Aerospace Technology Campus,true
1165DIPMA,https://www.bcit.ca/programs/aircraft-maintenance-engineer-category-e-electronics-diploma-full-time-1165dipma/,Aircraft Maintenance Engineer Category E Electronics,Diploma,Full-time,false,Ongoing intake,Waitlisting,Aerospace Technology Campus,true
1230DIPMA,https://www.bcit.ca/programs/aircraft-maintenance-engineer-category-m-maintenance-diploma-full-time-1230dipma/,Aircraft Maintenance Engineer Category M Maintenance,Diploma,Full-time,false,Ongoing intake,Waitlisting,Aerospace Technology Campus,true
1205DIPMA,https://www.bcit.ca/programs/aircraft-maintenance-engineer-category-s-structures-diploma-full-time-1205dipma/,Aircraft Maintenance Engineer Category S Structures,Diploma,Full-time,false,Ongoing intake,Waitlisting,Aerospace Technology Campus,true
100ADIPMA,https://www.bcit.ca/programs/airline-and-flight-operations-commercial-pilot-fixed-wing-diploma-full-time-100adipma/,Airline and Flight Operations - Commercial Pilot - Fixed Wing,Diploma,Full-time,false,Apr 2027,Open,Blended: Aerospace Campus,true
100BDIPMA,https://www.bcit.ca/programs/airline-and-flight-operations-commercial-pilot-rotary-wing-diploma-full-time-100bdipma/,Airline and Flight Operations - Commercial Pilot - Rotary Wing,Diploma,Full-time,false,Apr 2027,Open,Blended: Aerospace Campus,true
6992ACERT,https://www.bcit.ca/programs/applied-computer-information-systems-acis-associate-certificate-part-time-6992acert/,Applied Computer Information Systems ACIS,Associate Certificate,Part-time,false,Sep 2026,Closed,Blended: Burnaby/Downtown,true
6992ACERT,https://www.bcit.ca/programs/applied-computer-information-systems-acis-associate-certificate-part-time-6992acert/,Applied Computer Information Systems ACIS,Associate Certificate,Part-time,false,Sep 2026,Closed,Online,true
6992ACERT,https://www.bcit.ca/programs/applied-computer-information-systems-acis-associate-certificate-part-time-6992acert/,Applied Computer Information Systems ACIS,Associate Certificate,Part-time,false,Jan 2027,Open,Blended: Burnaby/Downtown,true
6992ACERT,https://www.bcit.ca/programs/applied-computer-information-systems-acis-associate-certificate-part-time-6992acert/,Applied Computer Information Systems ACIS,Associate Certificate,Part-time,false,Jan 2027,Open,Online,true
6992ACERT,https://www.bcit.ca/programs/applied-computer-information-systems-acis-associate-certificate-part-time-6992acert/,Applied Computer Information Systems ACIS,Associate Certificate,Part-time,false,Apr 2027,Open,Blended: Burnaby/Downtown,true
6992ACERT,https://www.bcit.ca/programs/applied-computer-information-systems-acis-associate-certificate-part-time-6992acert/,Applied Computer Information Systems ACIS,Associate Certificate,Part-time,false,Apr 2027,Open,Online,true
867CBSC,https://www.bcit.ca/programs/applied-computer-science-database-option-bachelor-of-science-part-time-867cbsc/,Applied Computer Science Database Option,Bachelor of Science,Full-time,false,Jan 2027,Open,Burnaby Campus,true
867CBSC,https://www.bcit.ca/programs/applied-computer-science-database-option-bachelor-of-science-part-time-867cbsc/,Applied Computer Science Database Option,Bachelor of Science,Part-time,false,Sep 2026,Closed,Blended: Burnaby/Downtown,true
867CBSC,https://www.bcit.ca/programs/applied-computer-science-database-option-bachelor-of-science-part-time-867cbsc/,Applied Computer Science Database Option,Bachelor of Science,Part-time,false,Jan 2027,Open,Blended: Burnaby/Downtown,true
867CBSC,https://www.bcit.ca/programs/applied-computer-science-database-option-bachelor-of-science-part-time-867cbsc/,Applied Computer Science Database Option,Bachelor of Science,Part-time - Domestic Only,true,Apr 2027,Open,Blended: Burnaby/Downtown,true
867ABSC,https://www.bcit.ca/programs/applied-computer-science-games-development-option-bachelor-of-science-full-time-867absc/,Applied Computer Science Games Development,Bachelor of Science,Full-time,false,Sep 2026,Closed,Burnaby Campus,true
867DBSC,https://www.bcit.ca/programs/applied-computer-science-human-computer-interface-option-bachelor-of-science-part-time-867dbsc/,Applied Computer Science Human Computer Interface Option,Bachelor of Science,Part-time,false,Sep 2026,Closed,Blended: Burnaby/Downtown,true
867DBSC,https://www.bcit.ca/programs/applied-computer-science-human-computer-interface-option-bachelor-of-science-part-time-867dbsc/,Applied Computer Science Human Computer Interface Option,Bachelor of Science,Part-time,false,Jan 2027,Open,Blended: Burnaby/Downtown,true
867DBSC,https://www.bcit.ca/programs/applied-computer-science-human-computer-interface-option-bachelor-of-science-part-time-867dbsc/,Applied Computer Science Human Computer Interface Option,Bachelor of Science,Part-time - Domestic Only,true,Apr 2027,Open,Blended: Burnaby/Downtown,true
867BBSC,https://www.bcit.ca/programs/applied-computer-science-network-security-applications-development-option-bachelor-of-science-full-time-part-time-867bbsc/,Applied Computer Science Network Security Applications Development Option,Bachelor of Science,Full-time,false,Sep 2026,Closed,Burnaby Campus,true
867BBSC,https://www.bcit.ca/programs/applied-computer-science-network-security-applications-development-option-bachelor-of-science-full-time-part-time-867bbsc/,Applied Computer Science Network Security Applications Development Option,Bachelor of Science,Part-time,false,Sep 2026,Closed,Blended: Burnaby/Downtown,true
867BBSC,https://www.bcit.ca/programs/applied-computer-science-network-security-applications-development-option-bachelor-of-science-full-time-part-time-867bbsc/,Applied Computer Science Network Security Applications Development Option,Bachelor of Science,Part-time,false,Jan 2027,Open,Blended: Burnaby/Downtown,true
867BBSC,https://www.bcit.ca/programs/applied-computer-science-network-security-applications-development-option-bachelor-of-science-full-time-part-time-867bbsc/,Applied Computer Science Network Security Applications Development Option,Bachelor of Science,Part-time - Domestic Only,true,Apr 2027,Open,Blended: Burnaby/Downtown,true
867FBSC,https://www.bcit.ca/programs/applied-computer-science-wireless-and-mobile-applications-development-option-bachelor-of-science-part-time-867fbsc/,Applied Computer Science Wireless and Mobile Applications Development Option,Bachelor of Science,Part-time,false,Sep 2026,Closed,Blended: Burnaby/Downtown,true
867FBSC,https://www.bcit.ca/programs/applied-computer-science-wireless-and-mobile-applications-development-option-bachelor-of-science-part-time-867fbsc/,Applied Computer Science Wireless and Mobile Applications Development Option,Bachelor of Science,Part-time,false,Jan 2027,Open,Blended: Burnaby/Downtown,true
867FBSC,https://www.bcit.ca/programs/applied-computer-science-wireless-and-mobile-applications-development-option-bachelor-of-science-part-time-867fbsc/,Applied Computer Science Wireless and Mobile Applications Development Option,Bachelor of Science,Part-time - Domestic Only,true,Apr 2027,Open,Blended: Burnaby/Downtown,true
M600MSC,https://www.bcit.ca/programs/applied-computing-master-of-science-full-time-m600msc/,Applied Computing,Master of Science,Full-time,false,Sep 2026,Closed,Burnaby Campus,true
5512CERT,https://www.bcit.ca/programs/applied-data-analytics-certificate-part-time-5512cert/,Applied Data Analytics,Certificate,Part-time,false,Sep 2026,Closed,Burnaby/Downtown/Blended,true
5512CERT,https://www.bcit.ca/programs/applied-data-analytics-certificate-part-time-5512cert/,Applied Data Analytics,Certificate,Part-time,false,Jan 2027,Open,Burnaby/Downtown/Blended,true
5512CERT,https://www.bcit.ca/programs/applied-data-analytics-certificate-part-time-5512cert/,Applied Data Analytics,Certificate,Part-time,false,Apr 2027,Open,Burnaby/Downtown/Blended,true
6994ACERT,https://www.bcit.ca/programs/applied-database-administration-and-design-associate-certificate-part-time-6994acert/,Applied Database Administration and Design,Associate Certificate,Part-time,false,Sep 2026,Closed,Burnaby/Downtown/Blended,true
6994ACERT,https://www.bcit.ca/programs/applied-database-administration-and-design-associate-certificate-part-time-6994acert/,Applied Database Administration and Design,Associate Certificate,Part-time,false,Jan 2027,Open,Burnaby/Downtown/Blended,true
6994ACERT,https://www.bcit.ca/programs/applied-database-administration-and-design-associate-certificate-part-time-6994acert/,Applied Database Administration and Design,Associate Certificate,Part-time,false,Apr 2027,Open,Burnaby/Downtown/Blended,true
6958ACERT,https://www.bcit.ca/programs/applied-software-development-asd-associate-certificate-part-time-6958acert/,Applied Software Development,Associate Certificate,Part-time,false,Sep 2026,Closed,Blended: Burnaby/Downtown,true
6958ACERT,https://www.bcit.ca/programs/applied-software-development-asd-associate-certificate-part-time-6958acert/,Applied Software Development,Associate Certificate,Part-time,false,Jan 2027,Open,Blended: Burnaby/Downtown,true
6958ACERT,https://www.bcit.ca/programs/applied-software-development-asd-associate-certificate-part-time-6958acert/,Applied Software Development,Associate Certificate,Part-time,false,Apr 2027,Open,Blended: Burnaby/Downtown,true
6957ACERT,https://www.bcit.ca/programs/applied-web-development-associate-certificate-part-time-6957acert/,Applied Web Development,Associate Certificate,Part-time,false,Sep 2026,Closed,Blended: Burnaby/Downtown,true
6957ACERT,https://www.bcit.ca/programs/applied-web-development-associate-certificate-part-time-6957acert/,Applied Web Development,Associate Certificate,Part-time,false,Jan 2027,Open,Blended: Burnaby/Downtown,true
6957ACERT,https://www.bcit.ca/programs/applied-web-development-associate-certificate-part-time-6957acert/,Applied Web Development,Associate Certificate,Part-time,false,Apr 2027,Open,Blended: Burnaby/Downtown,true
8050BTECH,https://www.bcit.ca/programs/architectural-science-bachelor-of-architectural-science-full-time-8050btech/,Architectural Science,Bachelor of Architectural Science Levels 5 - 8,Full-time,false,Sep 2026,Closed,Burnaby Campus,true
6030CERT,https://www.bcit.ca/programs/architectural-and-building-technology-certificate-part-time-6030cert/,Architectural and Building Technology,Certificate,Part-time,false,Sep 2026,Closed,Blended: Burnaby Campus,true
6030CERT,https://www.bcit.ca/programs/architectural-and-building-technology-certificate-part-time-6030cert/,Architectural and Building Technology,Certificate,Part-time,false,Jan 2027,Open,Blended: Burnaby Campus,true
6030CERT,https://www.bcit.ca/programs/architectural-and-building-technology-certificate-part-time-6030cert/,Architectural and Building Technology,Certificate,Part-time,false,Apr 2027,Open,Blended: Burnaby Campus,true
7140DIPMA,https://www.bcit.ca/programs/architectural-and-building-technology-diploma-full-time-7140dipma/,Architectural and Building Technology,Diploma Levels 1 - 4,Full-time,false,Sep 2026,Closed,Burnaby Campus,true
