program_id,kind,systematic_source,specific_source,resolution
5165ADCERT,intake_or_mode_scope,program accepts international students in at least one route,availability page contains a Domestic Only format row,program remains accepted; attach restriction to the dated mode/intake only
5180ADVDIP,intake_or_mode_scope,program accepts international students in at least one route,availability page contains a Domestic Only format row,program remains accepted; attach restriction to the dated mode/intake only
5235ADCERT,intake_or_mode_scope,program accepts international students in at least one route,availability page contains a Domestic Only format row,program remains accepted; attach restriction to the dated mode/intake only
528AADCERT,intake_or_mode_scope,program accepts international students in at least one route,availability page contains a Domestic Only format row,program remains accepted; attach restriction to the dated mode/intake only
528BADCERT,intake_or_mode_scope,program accepts international students in at least one route,availability page contains a Domestic Only format row,program remains accepted; attach restriction to the dated mode/intake only
528CADCERT,intake_or_mode_scope,program accepts international students in at least one route,availability page contains a Domestic Only format row,program remains accepted; attach restriction to the dated mode/intake only
5290ADVDIP,intake_or_mode_scope,program accepts international students in at least one route,availability page contains a Domestic Only format row,program remains accepted; attach restriction to the dated mode/intake only
5312ADVDIP,intake_or_mode_scope,program accepts international students in at least one route,availability page contains a Domestic Only format row,program remains accepted; attach restriction to the dated mode/intake only
5440ADCERT,intake_or_mode_scope,program accepts international students in at least one route,availability page contains a Domestic Only format row,program remains accepted; attach restriction to the dated mode/intake only
5500DIPMA,intake_or_mode_scope,program accepts international students in at least one route,availability page contains a Domestic Only format row,program remains accepted; attach restriction to the dated mode/intake only
5725ACERT,intake_or_mode_scope,program accepts international students in at least one route,availability page contains a Domestic Only format row,program remains accepted; attach restriction to the dated mode/intake only
585CMCERT,intake_or_mode_scope,program accepts international students in at least one route,availability page contains a Domestic Only format row,program remains accepted; attach restriction to the dated mode/intake only
585FMCERT,intake_or_mode_scope,program accepts international students in at least one route,availability page contains a Domestic Only format row,program remains accepted; attach restriction to the dated mode/intake only
585IACERT,intake_or_mode_scope,program accepts international students in at least one route,availability page contains a Domestic Only format row,program remains accepted; attach restriction to the dated mode/intake only
6005ACERT,intake_or_mode_scope,program accepts international students in at least one route,availability page contains a Domestic Only format row,program remains accepted; attach restriction to the dated mode/intake only
6008CERT,intake_or_mode_scope,program accepts international students in at least one route,availability page contains a Domestic Only format row,program remains accepted; attach restriction to the dated mode/intake only
6140DIPMA,intake_or_mode_scope,program accepts international students in at least one route,availability page contains a Domestic Only format row,program remains accepted; attach restriction to the dated mode/intake only
6185ADCERT,intake_or_mode_scope,program accepts international students in at least one route,availability page contains a Domestic Only format row,program remains accepted; attach restriction to the dated mode/intake only
6195CERT,intake_or_mode_scope,program accepts international students in at least one route,availability page contains a Domestic Only format row,program remains accepted; attach restriction to the dated mode/intake only
6585CERT,intake_or_mode_scope,program accepts international students in at least one route,availability page contains a Domestic Only format row,program remains accepted; attach restriction to the dated mode/intake only
6860ADCERT,intake_or_mode_scope,program accepts international students in at least one route,availability page contains a Domestic Only format row,program remains accepted; attach restriction to the dated mode/intake only
6998CERT,intake_or_mode_scope,program accepts international students in at least one route,availability page contains a Domestic Only format row,program remains accepted; attach restriction to the dated mode/intake only
703ADIPMA,intake_or_mode_scope,program accepts international students in at least one route,availability page contains a Domestic Only format row,program remains accepted; attach restriction to the dated mode/intake only
703BDIPMA,intake_or_mode_scope,program accepts international students in at least one route,availability page contains a Domestic Only format row,program remains accepted; attach restriction to the dated mode/intake only
703CDIPMA,intake_or_mode_scope,program accepts international students in at least one route,availability page contains a Domestic Only format row,program remains accepted; attach restriction to the dated mode/intake only
703DDIPMA,intake_or_mode_scope,program accepts international students in at least one route,availability page contains a Domestic Only format row,program remains accepted; attach restriction to the dated mode/intake only
703EDIPMA,intake_or_mode_scope,program accepts international students in at least one route,availability page contains a Domestic Only format row,program remains accepted; attach restriction to the dated mode/intake only
7710DIPMA,intake_or_mode_scope,program accepts international students in at least one route,availability page contains a Domestic Only format row,program remains accepted; attach restriction to the dated mode/intake only
7985ACERT,intake_or_mode_scope,program accepts international students in at least one route,availability page contains a Domestic Only format row,program remains accepted; attach restriction to the dated mode/intake only
8040BSC,intake_or_mode_scope,program accepts international students in at least one route,availability page contains a Domestic Only format row,program remains accepted; attach restriction to the dated mode/intake only
810ABSN,scope_refinement,positive international flag,outside-Canada/work-permit-only; study-permit and PGWP ineligible,retain CONDITIONAL_RESTRICTED with specific conditions
810BBSN,scope_refinement,positive international flag,outside-Canada/work-permit-only; study-permit and PGWP ineligible,retain CONDITIONAL_RESTRICTED with specific conditions
810CBSN,scope_refinement,positive international flag,outside-Canada/work-permit-only; study-permit and PGWP ineligible,retain CONDITIONAL_RESTRICTED with specific conditions
810DBSN,scope_refinement,positive international flag,outside-Canada/work-permit-only; study-permit and PGWP ineligible,retain CONDITIONAL_RESTRICTED with specific conditions
810FBSN,scope_refinement,positive international flag,outside-Canada/work-permit-only; study-permit and PGWP ineligible,retain CONDITIONAL_RESTRICTED with specific conditions
810GBSN,scope_refinement,positive international flag,outside-Canada/work-permit-only; study-permit and PGWP ineligible,retain CONDITIONAL_RESTRICTED with specific conditions
810HBSN,scope_refinement,positive international flag,outside-Canada/work-permit-only; study-permit and PGWP ineligible,retain CONDITIONAL_RESTRICTED with specific conditions
810KBSN,scope_refinement,positive international flag,outside-Canada/work-permit-only; study-permit and PGWP ineligible,retain CONDITIONAL_RESTRICTED with specific conditions
810MBSN,scope_refinement,positive international flag,outside-Canada/work-permit-only; study-permit and PGWP ineligible,retain CONDITIONAL_RESTRICTED with specific conditions
810NBSN,scope_refinement,positive international flag,outside-Canada/work-permit-only; study-permit and PGWP ineligible,retain CONDITIONAL_RESTRICTED with specific conditions
810QBSN,scope_refinement,positive international flag,outside-Canada/work-permit-only; study-permit and PGWP ineligible,retain CONDITIONAL_RESTRICTED with specific conditions
810SBSN,scope_refinement,positive international flag,outside-Canada/work-permit-only; study-permit and PGWP ineligible,retain CONDITIONAL_RESTRICTED with specific conditions
8310BTECH,intake_or_mode_scope,program accepts international students in at least one route,availability page contains a Domestic Only format row,program remains accepted; attach restriction to the dated mode/intake only
8350BTECH,intake_or_mode_scope,program accepts international students in at least one route,availability page contains a Domestic Only format row,program remains accepted; attach restriction to the dated mode/intake only
847BBTECH,intake_or_mode_scope,program accepts international students in at least one route,availability page contains a Domestic Only format row,program remains accepted; attach restriction to the dated mode/intake only
847CBTECH,intake_or_mode_scope,program accepts international students in at least one route,availability page contains a Domestic Only format row,program remains accepted; attach restriction to the dated mode/intake only
8630BACC,intake_or_mode_scope,program accepts international students in at least one route,availability page contains a Domestic Only format row,program remains accepted; attach restriction to the dated mode/intake only
867BBSC,intake_or_mode_scope,program accepts international students in at least one route,availability page contains a Domestic Only format row,program remains accepted; attach restriction to the dated mode/intake only
867CBSC,intake_or_mode_scope,program accepts international students in at least one route,availability page contains a Domestic Only format row,program remains accepted; attach restriction to the dated mode/intake only
867DBSC,intake_or_mode_scope,program accepts international students in at least one route,availability page contains a Domestic Only format row,program remains accepted; attach restriction to the dated mode/intake only
867FBSC,intake_or_mode_scope,program accepts international students in at least one route,availability page contains a Domestic Only format row,program remains accepted; attach restriction to the dated mode/intake only
8800BTECH,intake_or_mode_scope,program accepts international students in at least one route,availability page contains a Domestic Only format row,program remains accepted; attach restriction to the dated mode/intake only
8900BTECH,intake_or_mode_scope,program accepts international students in at least one route,availability page contains a Domestic Only format row,program remains accepted; attach restriction to the dated mode/intake only
9975BBA,intake_or_mode_scope,program accepts international students in at least one route,availability page contains a Domestic Only format row,program remains accepted; attach restriction to the dated mode/intake only
M410MSC,intake_or_mode_scope,program accepts international students in at least one route,availability page contains a Domestic Only format row,program remains accepted; attach restriction to the dated mode/intake only
M500MENG,intake_or_mode_scope,program accepts international students in at least one route,availability page contains a Domestic Only format row,program remains accepted; attach restriction to the dated mode/intake only
