program_id,program_name,expected_status,live_program_page_agrees,existing_structured_rules_agree,source_url,checked_date,discrepancy
810ABSN,"Specialty Nursing (Critical Care - Standard Option), Bachelor of Science in Nursing, Part-time",CONDITIONAL_RESTRICTED,true,true,https://www.bcit.ca/programs/specialty-nursing-critical-care-standard-option-bachelor-of-science-in-nursing-part-time-810absn/,2026-09-08,
810BBSN,"Specialty Nursing (Emergency - Standard Option), Bachelor of Science in Nursing, Part-time",CONDITIONAL_RESTRICTED,true,true,https://www.bcit.ca/programs/specialty-nursing-emergency-standard-option-bachelor-of-science-in-nursing-part-time-distance-and-online-learning-810bbsn/,2026-09-08,
810CBSN,"Specialty Nursing (Neonatal), Bachelor of Science in Nursing, Part-time",CONDITIONAL_RESTRICTED,true,true,https://www.bcit.ca/programs/specialty-nursing-neonatal-bachelor-of-science-in-nursing-part-time-distance-and-online-learning-810cbsn/,2026-09-08,
810DBSN,"Specialty Nursing (Nephrology), Bachelor of Science in Nursing, Part-time",CONDITIONAL_RESTRICTED,true,true,https://www.bcit.ca/programs/specialty-nursing-nephrology-bachelor-of-science-in-nursing-part-time-810dbsn/,2026-09-08,
810FBSN,"Specialty Nursing (Pediatric - Standard Option), Bachelor of Science in Nursing, Part-time",CONDITIONAL_RESTRICTED,true,true,https://www.bcit.ca/programs/specialty-nursing-pediatric-standard-option-bachelor-of-science-in-nursing-part-time-810fbsn/,2026-09-08,
810GBSN,"Specialty Nursing (Perinatal - Standard Option), Bachelor of Science in Nursing, Part-time",CONDITIONAL_RESTRICTED,true,true,https://www.bcit.ca/programs/specialty-nursing-perinatal-standard-option-bachelor-of-science-in-nursing-part-time-810gbsn/,2026-09-08,
810HBSN,"Specialty Nursing (Perioperative), Bachelor of Science in Nursing, Part-time",CONDITIONAL_RESTRICTED,true,true,https://www.bcit.ca/programs/specialty-nursing-perioperative-bachelor-of-science-in-nursing-part-time-810hbsn/,2026-09-08,
810KBSN,"Specialty Nursing (Critical Care - Combined Critical Care/Emergency Option), Bachelor of Science in Nursing, Part-time",CONDITIONAL_RESTRICTED,true,true,https://www.bcit.ca/programs/specialty-nursing-critical-care-combined-critical-care-emergency-option-bachelor-of-science-in-nursing-part-time-distance-and-online-learning-810kbsn/,2026-09-08,
810MBSN,"Specialty Nursing (High Acuity), Bachelor of Science in Nursing, Part-time",CONDITIONAL_RESTRICTED,true,true,https://www.bcit.ca/programs/specialty-nursing-high-acuity-bachelor-of-science-in-nursing-part-time-810mbsn/,2026-09-08,
810NBSN,"Specialty Nursing (Emergency - Combined Emergency/Critical Care Option), Bachelor of Science in Nursing, Part-time",CONDITIONAL_RESTRICTED,true,true,https://www.bcit.ca/programs/specialty-nursing-emergency-combined-emergency-critical-care-option-bachelor-of-science-in-nursing-part-time-distance-and-online-learning-810nbsn/,2026-09-08,
810QBSN,"Specialty Nursing (Pediatric - Critical Care Option), Bachelor of Science in Nursing, Part-time",CONDITIONAL_RESTRICTED,true,true,https://www.bcit.ca/programs/specialty-nursing-pediatric-critical-care-option-bachelor-of-science-in-nursing-part-time-810qbsn/,2026-09-08,
810SBSN,"Specialty Nursing (Perinatal - Perioperative Option), Bachelor of Science in Nursing, Part-time",CONDITIONAL_RESTRICTED,true,true,https://www.bcit.ca/programs/specialty-nursing-perinatal-perioperative-option-bachelor-of-science-in-nursing-part-time-810sbsn/,2026-09-08,
8875BSN,"Nursing, Bachelor of Science in Nursing, Full-time",NOT_ACCEPTED,true,true,https://www.bcit.ca/programs/nursing-bachelor-of-science-in-nursing-full-time-8875bsn/,2026-09-08,
