program_id,program_name,credential,study_mode,source_url,regular_listed,regular_international_flag,regular_pgwp_flag,flexible_listed,flexible_international_flag,flexible_pgwp_flag,availability_listed,has_domestic_only_availability_row,individual_evidence_status,individual_study_permit_status,individual_pgwp_status,recommended_program_status,recommended_pgwp_status,decision_basis,individual_evidence_url,individual_evidence_retrieved_at,legacy_accepts_international,current_international_eligibility,current_evidence_url,current_last_checked
0800CM,Introductory Studies in Mass Timber Construction,Microcredential,Part-time,https://www.bcit.ca/programs/introductory-studies-in-mass-timber-construction-microcredential-part-time-0800cm/,false,false,false,true,true,false,false,false,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,ACCEPTED_AVAILABLE,UNKNOWN_NOT_PUBLISHED,bcit_international_program_list_positive_flag,https://www.bcit.ca/programs/introductory-studies-in-mass-timber-construction-microcredential-part-time-0800cm/,,,Refer to official program page,https://www.bcit.ca/programs/introductory-studies-in-mass-timber-construction-microcredential-part-time-0800cm/,2026-09-08
0801CM,Essentials of Natural Resource and Environmental Protection (MENREP),Microcredential,Part-time,https://www.bcit.ca/programs/essentials-of-natural-resource-and-environmental-protection-menrep-microcredential-part-time-0801cm/,false,false,false,false,false,false,false,false,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,no_explicit_governing_evidence,https://www.bcit.ca/programs/essentials-of-natural-resource-and-environmental-protection-menrep-microcredential-part-time-0801cm/,,,Refer to official program page,https://www.bcit.ca/programs/essentials-of-natural-resource-and-environmental-protection-menrep-microcredential-part-time-0801cm/,2026-09-08
0803CM,Script Supervision and Continuity for Film and TV,Microcredential,Part-time,https://www.bcit.ca/programs/script-supervision-and-continuity-for-film-and-tv-microcredential-part-time-0803cm/,false,false,false,true,true,false,false,false,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,ACCEPTED_AVAILABLE,UNKNOWN_NOT_PUBLISHED,bcit_international_program_list_positive_flag,https://www.bcit.ca/programs/script-supervision-and-continuity-for-film-and-tv-microcredential-part-time-0803cm/,,,Refer to official program page,https://www.bcit.ca/programs/script-supervision-and-continuity-for-film-and-tv-microcredential-part-time-0803cm/,2026-09-08
0804CM,Forensic Nurse Examiner Education for RNs,Microcredential,Part-time,https://www.bcit.ca/programs/forensic-nurse-examiner-education-for-rns-microcredential-part-time-0804cm/,false,false,false,false,false,false,false,false,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,no_explicit_governing_evidence,https://www.bcit.ca/programs/forensic-nurse-examiner-education-for-rns-microcredential-part-time-0804cm/,,,Refer to official program page,https://www.bcit.ca/programs/forensic-nurse-examiner-education-for-rns-microcredential-part-time-0804cm/,2026-09-08
0805CM,Breast Sonography,Microcredential,Part-time,https://www.bcit.ca/programs/breast-sonography-microcredential-part-time-0805cm/,false,false,false,false,false,false,false,false,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,no_explicit_governing_evidence,https://www.bcit.ca/programs/breast-sonography-microcredential-part-time-0805cm/,,,Refer to official program page,https://www.bcit.ca/programs/breast-sonography-microcredential-part-time-0805cm/,2026-09-08
0806CM,Musculoskeletal Sonography,Microcredential,Part-time,https://www.bcit.ca/programs/musculoskeletal-sonography-microcredential-part-time-0806cm/,false,false,false,false,false,false,false,false,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,no_explicit_governing_evidence,https://www.bcit.ca/programs/musculoskeletal-sonography-microcredential-part-time-0806cm/,,,Refer to official program page,https://www.bcit.ca/programs/musculoskeletal-sonography-microcredential-part-time-0806cm/,2026-09-08
0810CM,Low-Code Mobile Application Development,Microcredential,Part-time,https://www.bcit.ca/programs/low-code-mobile-application-development-microcredential-part-time-0810cm/,false,false,false,true,true,false,false,false,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,ACCEPTED_AVAILABLE,UNKNOWN_NOT_PUBLISHED,bcit_international_program_list_positive_flag,https://www.bcit.ca/programs/low-code-mobile-application-development-microcredential-part-time-0810cm/,,,Refer to official program page,https://www.bcit.ca/programs/low-code-mobile-application-development-microcredential-part-time-0810cm/,2026-09-08
0811CM,Essentials of Data Networks,Microcredential,Part-time,https://www.bcit.ca/programs/essentials-of-data-networks-microcredential-part-time-0811cm/,false,false,false,true,true,false,false,false,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,ACCEPTED_AVAILABLE,UNKNOWN_NOT_PUBLISHED,bcit_international_program_list_positive_flag,https://www.bcit.ca/programs/essentials-of-data-networks-microcredential-part-time-0811cm/,,,Refer to official program page,https://www.bcit.ca/programs/essentials-of-data-networks-microcredential-part-time-0811cm/,2026-09-08
0812CM,Cybersecurity Analysis for Network Administrators,Microcredential,Part-time,https://www.bcit.ca/programs/cybersecurity-analysis-for-network-administrators-microcredential-part-time-0812cm/,false,false,false,true,true,false,false,false,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,ACCEPTED_AVAILABLE,UNKNOWN_NOT_PUBLISHED,bcit_international_program_list_positive_flag,https://www.bcit.ca/programs/cybersecurity-analysis-for-network-administrators-microcredential-part-time-0812cm/,,,Refer to official program page,https://www.bcit.ca/programs/cybersecurity-analysis-for-network-administrators-microcredential-part-time-0812cm/,2026-09-08
0813CM,Advanced Forensic Nurse Examiner,Microcredential,Part-time,https://www.bcit.ca/programs/advanced-forensic-nurse-examiner-microcredential-part-time-0813cm/,false,false,false,true,true,false,false,false,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,ACCEPTED_AVAILABLE,UNKNOWN_NOT_PUBLISHED,bcit_international_program_list_positive_flag,https://www.bcit.ca/programs/advanced-forensic-nurse-examiner-microcredential-part-time-0813cm/,,,Refer to official program page,https://www.bcit.ca/programs/advanced-forensic-nurse-examiner-microcredential-part-time-0813cm/,2026-09-08
