program_id,official_name,courses,existing,missing_unresolved,clinical_practicum,success
810KBSN,"Specialty Nursing (Critical Care - Combined Critical Care/Emergency Option), Bachelor of Science in Nursing, Part-time",16,16,0,NSCC7420;NSER7500,True
810ABSN,"Specialty Nursing (Critical Care - Standard Option), Bachelor of Science in Nursing, Part-time",16,16,0,NSCC7420;NSCC7620,True
810NBSN,"Specialty Nursing (Emergency - Combined Emergency/Critical Care Option), Bachelor of Science in Nursing, Part-time",17,17,0,NSCC7420;NSER7300;NSER7500,True
810BBSN,"Specialty Nursing (Emergency - Standard Option), Bachelor of Science in Nursing, Part-time",18,18,0,NSER7300;NSER7500,True
810MBSN,"Specialty Nursing (High Acuity), Bachelor of Science in Nursing, Part-time",19,19,0,NSHA7300;NSSC7000,True
810CBSN,"Specialty Nursing (Neonatal), Bachelor of Science in Nursing, Part-time",20,20,0,NSNE7300;NSNE7900;NSSC7000,True
810DBSN,"Specialty Nursing (Nephrology), Bachelor of Science in Nursing, Part-time",19,19,0,NSNN7300;NSNN7500;NSNN7700,True
810QBSN,"Specialty Nursing (Pediatric - Critical Care Option), Bachelor of Science in Nursing, Part-time",16,16,0,NSPE7310;NSPE7410,True
810FBSN,"Specialty Nursing (Pediatric - Standard Option), Bachelor of Science in Nursing, Part-time",32,32,0,NSPE7300;NSPE7500;NSPE7900;NSSC7000,True
810SBSN,"Specialty Nursing (Perinatal - Perioperative Option), Bachelor of Science in Nursing, Part-time",22,22,0,NSPN7300;NSPO7330,True
810GBSN,"Specialty Nursing (Perinatal - Standard Option), Bachelor of Science in Nursing, Part-time",27,27,0,NSPN7300;NSPN7500;NSPN7736,True
810HBSN,"Specialty Nursing (Perioperative), Bachelor of Science in Nursing, Part-time",23,23,0,NSPO7350;NSPO7540;NSPO7550;NSPO7740;NSPO7750,True
