program_id,program_name,classifications,safe_to_govern,revision_id,payload_sha256,zero_diff,international_status,international_mismatch,missing_courses,stale_courses
0816CM,Applied Circular Economy: Zero Waste Buildings,NO_CHANGE;PROVENANCE_GAP,True,678,4922eeb9e89a609d86a093bb354c20098cb73e4e056abcbde4feacf97869f58a,True,ACCEPTED_AVAILABLE,False,,
5410DIPLT,Civil Engineering Diploma,NO_CHANGE;PROVENANCE_GAP,True,680,5809f95e1b4506ec12be48bc0c46d0a545ce70b229b51554e30b17be66e45a8a,True,ACCEPTED_AVAILABLE,False,,
810ABSN,"Specialty Nursing (Critical Care - Standard Option), Bachelor of Science in Nursing, Part-time",NO_CHANGE;PROVENANCE_GAP,True,682,82375ca18afc41a4be8dbafd707d40bb77391748921101a741f44ea91e393412,True,CONDITIONAL_RESTRICTED,False,,
810BBSN,"Specialty Nursing (Emergency - Standard Option), Bachelor of Science in Nursing, Part-time",NO_CHANGE;PROVENANCE_GAP,True,684,f74199a2bee6a419f3cfd22763cdeab40aad225ad15ba59da0567f40c9ce597c,True,CONDITIONAL_RESTRICTED,False,,
810CBSN,"Specialty Nursing (Neonatal), Bachelor of Science in Nursing, Part-time",NO_CHANGE;PROVENANCE_GAP,True,686,e77ac3c6c517f1c4c1a4b72bc90626c6881a4c4c8a93edb2a54caae28da69734,True,CONDITIONAL_RESTRICTED,False,,
810DBSN,"Specialty Nursing (Nephrology), Bachelor of Science in Nursing, Part-time",NO_CHANGE;PROVENANCE_GAP,True,688,d194bbb1b96914d37211acb9e5dd9d74ac437fff0f23925cbaf20880b78f0dd2,True,CONDITIONAL_RESTRICTED,False,,
810FBSN,"Specialty Nursing (Pediatric - Standard Option), Bachelor of Science in Nursing, Part-time",NO_CHANGE;PROVENANCE_GAP,True,690,51e15c51794fbe5d8ec64510c619a2d6d9af980a8483a33aea32004ba4f6eb18,True,CONDITIONAL_RESTRICTED,False,,
810GBSN,"Specialty Nursing (Perinatal - Standard Option), Bachelor of Science in Nursing, Part-time",NO_CHANGE;PROVENANCE_GAP,True,692,5e4f70ccdf4a62c397bdeb3d004a68425018f8daec595e9e3808b105f00cd585,True,CONDITIONAL_RESTRICTED,False,,
810HBSN,"Specialty Nursing (Perioperative), Bachelor of Science in Nursing, Part-time",NO_CHANGE;PROVENANCE_GAP,True,694,576520a6f7a6bf55160190e8ee53534cfebcd4fc2b1359a2f3eefb5f11228268,True,CONDITIONAL_RESTRICTED,False,,
810KBSN,"Specialty Nursing (Critical Care - Combined Critical Care/Emergency Option), Bachelor of Science in Nursing, Part-time",NO_CHANGE;PROVENANCE_GAP,True,696,6836157edb584dbfd797b488c1a356450e2ee5cb7311448c3cdd154e34771d46,True,CONDITIONAL_RESTRICTED,False,,
810MBSN,"Specialty Nursing (High Acuity), Bachelor of Science in Nursing, Part-time",NO_CHANGE;PROVENANCE_GAP,True,698,fb5218fac538f8e92ce1dd26b2dfb3ec7eac0b9ac34146ef4ba3acc78a1eef67,True,CONDITIONAL_RESTRICTED,False,,
810NBSN,"Specialty Nursing (Emergency - Combined Emergency/Critical Care Option), Bachelor of Science in Nursing, Part-time",NO_CHANGE;PROVENANCE_GAP,True,700,f098be7721547a0762faf0d3aa56e52f5a4b7ae38393ea45534fe37b53eaff2b,True,CONDITIONAL_RESTRICTED,False,,
810QBSN,"Specialty Nursing (Pediatric - Critical Care Option), Bachelor of Science in Nursing, Part-time",NO_CHANGE;PROVENANCE_GAP,True,702,006c9b6d1dd71999feacb6f206ff61a3b474f45d04b199bd67fb59342f8b54ae,True,CONDITIONAL_RESTRICTED,False,,
810SBSN,"Specialty Nursing (Perinatal - Perioperative Option), Bachelor of Science in Nursing, Part-time",NO_CHANGE;PROVENANCE_GAP,True,704,1c5c31af67df8f3843a566b3465cafde7674c2041873cbcb94989d3b9f6aad5e,True,CONDITIONAL_RESTRICTED,False,,
8660BENG,Civil Engineering Bachelor of Engineering,NO_CHANGE;PROVENANCE_GAP,True,706,184a011fd068765939c4be8991b1a778eb41cd19706ef3902ceba73180474aaf,True,ACCEPTED_AVAILABLE,False,,
8800BTECH,Construction Management,NO_CHANGE;PROVENANCE_GAP,True,708,13950881d5c53be36e78358c463dbe9f9351075e98a27dbf7586171b3206157e,True,ACCEPTED_AVAILABLE,False,,
8875BSN,"Nursing, Bachelor of Science in Nursing, Full-time",NO_CHANGE;PROVENANCE_GAP,True,710,53bb6227bcdebbf8d47c3a52cdcc1f7538e8059be3d5807a9abc7519daef0158,True,NOT_ACCEPTED,False,,
8900BTECH,Electronics,NO_CHANGE;PROVENANCE_GAP,True,712,5cf60450dd4cc8e6b53d3ec00ae762f6da02682d7685b10518921426f28ade96,True,ACCEPTED_AVAILABLE,False,,
M600MSC,Applied Computing,NO_CHANGE;PROVENANCE_GAP,True,714,0bdfc9a6c0432796bbe7ce52bc78b952905a4009d741fbcef586477bc2d8925c,True,ACCEPTED_AVAILABLE,False,,
