scope,program_id,program_name,credential,study_mode,school,url,catalogs,catalog_occurrence_count,official_course_reference_count,database_course_count,http_status,final_url,classification,reason,matched_program_id
current_catalog,0020NOBCIT,Technology Entry (TE),,Full-time,School of Computing and Academic Studies,https://www.bcit.ca/programs/technology-entry-te-full-time-0020nobcit/,computing-it|engineering,2,8,,200,https://www.bcit.ca/programs/technology-entry-te-full-time-0020nobcit/,non-program/special entry,Current catalog listing is a Statement of Completion or uses a NOBCIT/non-credential identifier.,
current_catalog,0110APPR,Diesel Engine Mechanic,Apprenticeship,Full-time,School of Transportation,https://www.bcit.ca/programs/diesel-engine-mechanic-apprenticeship-full-time-0110appr/,trades-apprenticeships,1,0,,200,https://www.bcit.ca/programs/diesel-engine-mechanic-apprenticeship-full-time-0110appr/,apprenticeship/training structure without identifiable course IDs,Current apprenticeship page publishes training levels/hours without identifiable BCIT course IDs.,
current_catalog,0120NOBCIT,International Student Entry,,Full-time,School of Computing and Academic Studies,https://www.bcit.ca/programs/international-student-entry-full-time-0120nobcit/,business-media|computing-it,2,0,,200,https://www.bcit.ca/programs/international-student-entry-full-time-0120nobcit/,prior RED/holdback,Official curriculum publishes no identifiable BCIT course references.,
current_catalog,0130NOBCIT,English for Professional and Academic Success,,Full-time,School of Computing and Academic Studies,https://www.bcit.ca/programs/english-for-professional-and-academic-success-full-time-0130nobcit/,business-media|computing-it,2,8,,200,https://www.bcit.ca/programs/english-for-professional-and-academic-success-full-time-0130nobcit/,non-program/special entry,Current catalog listing is a Statement of Completion or uses a NOBCIT/non-credential identifier.,
current_catalog,0205000000,Small Business Management,Statement of Completion,Part-time,School of Business + Media,https://www.bcit.ca/programs/small-business-management-statement-of-completion-part-time-0205000000/,business-media,1,6,,200,https://www.bcit.ca/programs/small-business-management-statement-of-completion-part-time-0205000000/,non-program/special entry,Current catalog listing is a Statement of Completion or uses a NOBCIT/non-credential identifier.,
current_catalog,0210NOBCIT,Masters of Digital Media,,Full-time,School of Business + Media,https://www.bcit.ca/programs/masters-of-digital-media-full-time-0210nobcit/,business-media,1,0,,200,https://www.bcit.ca/programs/masters-of-digital-media-full-time-0210nobcit/,non-program/special entry,Current catalog listing is a Statement of Completion or uses a NOBCIT/non-credential identifier.,
current_catalog,0225000000,Human Resources,Statement of Completion,Part-time,School of Business + Media,https://www.bcit.ca/programs/human-resources-statement-of-completion-part-time-0225000000/,business-media,1,4,,200,https://www.bcit.ca/programs/human-resources-statement-of-completion-part-time-0225000000/,non-program/special entry,Current catalog listing is a Statement of Completion or uses a NOBCIT/non-credential identifier.,
current_catalog,0290000000,Leadership,Statement of Completion,Part-time,School of Business + Media,https://www.bcit.ca/programs/leadership-statement-of-completion-part-time-0290000000/,business-media,1,4,,200,https://www.bcit.ca/programs/leadership-statement-of-completion-part-time-0290000000/,non-program/special entry,Current catalog listing is a Statement of Completion or uses a NOBCIT/non-credential identifier.,
current_catalog,0425000000,Road Area Manager Certification,Statement of Completion,Part-time,School of Construction and the Environment,https://www.bcit.ca/programs/road-area-manager-certification-statement-of-completion-part-time-0425000000/,engineering|trades-apprenticeships,2,6,,200,https://www.bcit.ca/programs/road-area-manager-certification-statement-of-completion-part-time-0425000000/,non-program/special entry,Current catalog listing is a Statement of Completion or uses a NOBCIT/non-credential identifier.,
current_catalog,0440000000,Dental Office Receptionist,Statement of Completion,Part-time,School of Computing and Academic Studies,https://www.bcit.ca/programs/dental-office-receptionist-statement-of-completion-part-time-0440000000/,business-media|computing-it|health-sciences,3,3,,200,https://www.bcit.ca/programs/dental-office-receptionist-statement-of-completion-part-time-0440000000/,non-program/special entry,Current catalog listing is a Statement of Completion or uses a NOBCIT/non-credential identifier.,
current_catalog,0445000000,Digital Photography,Statement of Completion,Part-time,School of Business + Media,https://www.bcit.ca/programs/digital-photography-statement-of-completion-part-time-0445000000/,business-media,1,4,,200,https://www.bcit.ca/programs/digital-photography-statement-of-completion-part-time-0445000000/,non-program/special entry,Current catalog listing is a Statement of Completion or uses a NOBCIT/non-credential identifier.,
current_catalog,0455000000,Lean Business Improvement,Statement of Completion,Part-time,School of Business + Media,https://www.bcit.ca/programs/lean-business-improvement-statement-of-completion-part-time-0455000000/,business-media,1,3,,200,https://www.bcit.ca/programs/lean-business-improvement-statement-of-completion-part-time-0455000000/,non-program/special entry,Current catalog listing is a Statement of Completion or uses a NOBCIT/non-credential identifier.,
current_catalog,0500000000,Management Skills in Communication and Negotiation,Statement of Completion,Part-time,School of Business + Media,https://www.bcit.ca/programs/management-skills-in-communication-and-negotiation-statement-of-completion-part-time-0500000000/,business-media,1,5,,200,https://www.bcit.ca/programs/management-skills-in-communication-and-negotiation-statement-of-completion-part-time-0500000000/,non-program/special entry,Current catalog listing is a Statement of Completion or uses a NOBCIT/non-credential identifier.,
current_catalog,0520000000,Long-term Care Management,Statement of Completion,Part-time,School of Business + Media,https://www.bcit.ca/programs/long-term-care-management-statement-of-completion-part-time-0520000000/,business-media,1,4,,200,https://www.bcit.ca/programs/long-term-care-management-statement-of-completion-part-time-0520000000/,non-program/special entry,Current catalog listing is a Statement of Completion or uses a NOBCIT/non-credential identifier.,
current_catalog,0700000000,House Inspection,Statement of Completion,Part-time,School of Construction and the Environment,https://www.bcit.ca/programs/house-inspection-statement-of-completion-part-time-0700000000/,engineering|trades-apprenticeships,2,6,,200,https://www.bcit.ca/programs/house-inspection-statement-of-completion-part-time-0700000000/,non-program/special entry,Current catalog listing is a Statement of Completion or uses a NOBCIT/non-credential identifier.,
current_catalog,0705000000,International Perfusionist Equivalency Assessment (IPEA),Statement of Completion,Part-time,School of Health Sciences,https://www.bcit.ca/programs/international-perfusionist-equivalency-assessment-ipea-statement-of-completion-part-time-0705000000/,health-sciences,1,4,,200,https://www.bcit.ca/programs/international-perfusionist-equivalency-assessment-ipea-statement-of-completion-part-time-0705000000/,non-program/special entry,Current catalog listing is a Statement of Completion or uses a NOBCIT/non-credential identifier.,
current_catalog,0800CM,Introductory Studies in Mass Timber Construction,Microcredential,Part-time,School of Construction and the Environment,https://www.bcit.ca/programs/introductory-studies-in-mass-timber-construction-microcredential-part-time-0800cm/,engineering|trades-apprenticeships,2,2,,200,https://www.bcit.ca/programs/introductory-studies-in-mass-timber-construction-microcredential-part-time-0800cm/,legitimate remaining import candidate,Current credential-bearing catalog entry is not loaded and publishes identifiable BCIT course references.,
current_catalog,0801CM,Essentials of Natural Resource and Environmental Protection (MENREP),Microcredential,Part-time,School of Construction and the Environment,https://www.bcit.ca/programs/essentials-of-natural-resource-and-environmental-protection-menrep-microcredential-part-time-0801cm/,applied-natural-sciences,1,7,,200,https://www.bcit.ca/programs/essentials-of-natural-resource-and-environmental-protection-menrep-microcredential-part-time-0801cm/,legitimate remaining import candidate,Current credential-bearing catalog entry is not loaded and publishes identifiable BCIT course references.,
current_catalog,0803CM,Script Supervision and Continuity for Film and TV,Microcredential,Part-time,School of Business + Media,https://www.bcit.ca/programs/script-supervision-and-continuity-for-film-and-tv-microcredential-part-time-0803cm/,business-media,1,5,,200,https://www.bcit.ca/programs/script-supervision-and-continuity-for-film-and-tv-microcredential-part-time-0803cm/,legitimate remaining import candidate,Current credential-bearing catalog entry is not loaded and publishes identifiable BCIT course references.,
current_catalog,0804CM,Forensic Nurse Examiner Education for RNs,Microcredential,Part-time,School of Computing and Academic Studies,https://www.bcit.ca/programs/forensic-nurse-examiner-education-for-rns-microcredential-part-time-0804cm/,applied-natural-sciences|health-sciences,2,,2,,https://www.bcit.ca/programs/forensic-nurse-examiner-education-for-rns-microcredential-part-time-0804cm/,already loaded,Exact current catalog program ID matches an active PostgreSQL program.,0804CM
